抓取 2 檔持股數據...

    股票 |         數據日期 |      外資持股比 |      週變化 |         評分建議
-----------------------------------------------------------------
  2618 |   2026-06-30 |     22.80% |   -0.16% | -3分（週減≥0.1%）
  1301 |   2026-06-30 |     33.39% |   +0.09% | 不調整（小增）
  3481 |   2026-06-30 |     21.88% |   +0.21% | 不調整（小增）
  1402 |   2026-05-25 |     18.45% |   +0.12% | 不調整（小增）
  2891 |   2026-05-25 |     34.66% |   +0.05% | 不調整（小增）
  2887 |   2026-06-30 |     23.38% |   -0.02% | 不調整（微減<0.1%）
  1326 |   2026-05-25 |     36.72% |   -0.06% | 不調整（微減<0.1%）
  2883 |   2026-06-30 |     25.01% |   +0.07% | 不調整（小增）
  6505 |   2026-05-25 |      5.95% |   -0.05% | 不調整（微減<0.1%）
  3576 |   2026-04-13 |     10.49% |   +0.28% | 不調整（小增）
  8039 |   2026-05-25 |     18.24% |   -0.25% | -3分（週減≥0.1%）
  2884 |   2026-05-25 |     30.31% |   -0.08% | 不調整（微減<0.1%）
  3045 |   2026-03-31 |     12.87% |   +0.01% | 不調整（小增）
  2027 |   2026-05-25 |     18.27% |   +0.46% | 不調整（小增）
  5876 |   2026-05-11 |     53.61% |   +0.31% | 不調整（小增）
  6116 |   2026-05-25 |      9.08% |   +0.03% | 不調整（小增）
  2867 |   2026-05-25 |     18.20% |   -0.06% | 不調整（微減<0.1%）
  2633 |   2026-05-25 |      8.90% |   -0.27% | -3分（週減≥0.1%）
  2303 |   2026-05-25 |     36.26% |   +0.35% | 不調整（小增）
  3034 |   2026-05-07 |     35.16% |   +0.07% | 不調整（小增）
  5880 |   2026-06-30 |     16.01% |   -0.02% | 不調整（微減<0.1%）
  2484 |   2026-07-14 |     11.11% |   +2.94% | +5分（大增>0.5%）
  1718 |   2026-05-25 |      5.56% |   -0.02% | 不調整（微減<0.1%）
  2880 |   2026-06-30 |     14.53% |   +0.02% | 不調整（小增）
  2002 |   2026-05-25 |     12.78% |   +0.20% | 不調整（小增）
  3231 |   2026-06-30 |     26.07% |   -0.29% | -3分（週減≥0.1%）
  2347 |   2026-05-25 |     33.31% |   +0.09% | 不調整（小增）
  6213 |   2026-05-25 |     11.09% |   -0.51% | -3分（週減≥0.1%）
  2367 |   2026-05-25 |      9.05% |   -0.41% | -3分（週減≥0.1%）
  2472 |   2026-06-25 |      8.94% |   +1.78% | +5分（大增>0.5%）
  2886 |   2026-06-30 |     19.92% |   -0.28% | -3分（週減≥0.1%）
  2892 |   2026-06-30 |     25.62% |   -0.18% | -3分（週減≥0.1%）
  2408 |   2026-05-25 |     11.43% |   +0.00% | 不調整（微減<0.1%）
  2105 |   2026-05-25 |     11.01% |   -0.09% | 不調整（微減<0.1%）
  1709 |   2026-07-02 |      5.11% |   +0.04% | 不調整（小增）
  2812 |   2026-05-25 |      7.72% |   -0.04% | 不調整（微減<0.1%）
  2356 |   2026-06-30 |     16.51% |   -0.06% | 不調整（微減<0.1%）
  6669 |   2026-05-08 |     31.82% |   -0.04% | 不調整（微減<0.1%）
  3706 |   2026-04-17 |      9.71% |   +0.51% | +5分（大增>0.5%）
  2610 |   2026-06-30 |     15.64% |   -0.22% | -3分（週減≥0.1%）
  3208 |          N/A |        N/A |      N/A | 無數據
  2357 |   2026-05-25 |     33.26% |   +0.18% | 不調整（小增）
  8046 |   2026-03-31 |     11.88% |   -0.40% | -3分（週減≥0.1%）
  2382 |   2026-05-25 |     25.34% |   -0.52% | -3分（週減≥0.1%）
  2301 |   2026-06-30 |     40.74% |   +0.32% | 不調整（小增）
  2634 |   2026-06-30 |      5.01% |   +2.01% | +5分（大增>0.5%）
  2606 |   2026-03-31 |     10.74% |   -0.04% | 不調整（微減<0.1%）
  2882 |   2026-06-30 |     22.08% |   +0.33% | 不調整（小增）
  1303 |   2026-06-30 |     34.64% |   +0.05% | 不調整（小增）
  2615 |   2026-05-25 |     42.72% |   -0.13% | -3分（週減≥0.1%）
  2603 |   2026-03-31 |     20.05% |   -0.14% | -3分（週減≥0.1%）

結果已存: C:\Users\walter.huang\Documents\github\stock\data\2026-07-15\foreign_ratio_check.json
