查詢價格位置...

    股票 |       現價 |     MA20 |  vs MA20 |     MA60 |  vs MA60 |   得分 | 評分建議
-----------------------------------------------------------------------------------------------
  2618 |     40.8 |     42.4 |    -3.9% |     37.8 |    +7.9% |    8 | 8分（MA20 -3.9% 基礎7 | MA60 +1（月線下但季線撐））
  1301 |     63.6 |     55.3 |   +15.0% |     50.6 |   +25.8% |   15 | 15分（MA20 +15.0% 基礎14 | MA60 +1（月季雙線上））
  3481 |     57.2 |     64.9 |   -11.8% |     47.4 |   +20.6% |    3 | 3分（MA20 -11.8% 基礎2 | MA60 +1（月線下但季線撐））
  1402 |     26.4 |     28.3 |    -6.9% |     27.0 |    -2.4% |    3 | 3分（MA20 -6.9% 基礎4 | MA60 -1（月季雙線下））
  2891 |     65.0 |     70.2 |    -7.4% |     62.4 |    +4.2% |    5 | 5分（MA20 -7.4% 基礎4 | MA60 +1（月線下但季線撐））
  2887 |     35.5 |     33.7 |    +5.3% |     27.9 |   +27.1% |   13 | 13分（MA20 +5.3% 基礎12 | MA60 +1（月季雙線上））
  1326 |     67.0 |     59.2 |   +13.2% |     52.3 |   +28.0% |   13 | 13分（MA20 +13.2% 基礎12 | MA60 +1（月季雙線上））
  2883 |     29.5 |     29.7 |    -0.6% |     25.2 |   +16.8% |    8 | 8分（MA20 -0.6% 基礎7 | MA60 +1（月線下但季線撐））
  6505 |     66.2 |     56.7 |   +16.8% |     54.0 |   +22.5% |   15 | 15分（MA20 +16.8% 基礎14 | MA60 +1（月季雙線上））
  3576 |     17.5 |     17.2 |    +1.7% |     17.3 |    +1.0% |   11 | 11分（MA20 +1.7% 基礎10 | MA60 +1（月季雙線上））
  8039 |    185.5 |    149.2 |   +24.3% |    144.7 |   +28.2% |   15 | 15分（MA20 +24.3% 基礎14 | MA60 +1（月季雙線上））
  2884 |     34.5 |     34.7 |    -0.6% |     33.1 |    +4.2% |    8 | 8分（MA20 -0.6% 基礎7 | MA60 +1（月線下但季線撐））
  3045 |    109.0 |    116.2 |    -6.2% |    114.3 |    -4.7% |    3 | 3分（MA20 -6.2% 基礎4 | MA60 -1（月季雙線下））
  2027 |     39.1 |     40.6 |    -3.6% |     40.5 |    -3.3% |    6 | 6分（MA20 -3.6% 基礎7 | MA60 -1（月季雙線下））
  5876 |     44.7 |     42.5 |    +5.2% |     40.9 |    +9.4% |   13 | 13分（MA20 +5.2% 基礎12 | MA60 +1（月季雙線上））
  6116 |     15.7 |     18.1 |   -13.5% |     14.3 |   +10.0% |    3 | 3分（MA20 -13.5% 基礎2 | MA60 +1（月線下但季線撐））
  2867 |      8.8 |      8.6 |    +2.3% |      8.1 |    +9.2% |   11 | 11分（MA20 +2.3% 基礎10 | MA60 +1（月季雙線上））
  2633 |     25.5 |     26.3 |    -3.0% |     26.0 |    -2.1% |    6 | 6分（MA20 -3.1% 基礎7 | MA60 -1（月季雙線下））
  2303 |    151.0 |    160.6 |    -6.0% |    125.7 |   +20.2% |    5 | 5分（MA20 -5.9% 基礎4 | MA60 +1（月線下但季線撐））
  3034 |    468.0 |    528.1 |   -11.4% |    485.8 |    -3.7% |    1 | 1分（MA20 -11.4% 基礎2 | MA60 -1（月季雙線下））
  5880 |     25.2 |     24.8 |    +1.5% |     23.7 |    +6.4% |   11 | 11分（MA20 +1.5% 基礎10 | MA60 +1（月季雙線上））
  2484 |     80.5 |     79.2 |    +1.6% |     58.4 |   +37.9% |   11 | 11分（MA20 +1.6% 基礎10 | MA60 +1（月季雙線上））
  1718 |     13.9 |     12.3 |   +12.9% |      8.9 |   +55.8% |   13 | 13分（MA20 +13.0% 基礎12 | MA60 +1（月季雙線上））
  2880 |     39.2 |     38.0 |    +3.3% |     35.0 |   +12.3% |   11 | 11分（MA20 +3.3% 基礎10 | MA60 +1（月季雙線上））
  2002 |     18.5 |     18.9 |    -1.8% |     18.9 |    -1.9% |    6 | 6分（MA20 -1.8% 基礎7 | MA60 -1（月季雙線下））
  3231 |    142.5 |    154.9 |    -8.0% |    151.3 |    -5.8% |    3 | 3分（MA20 -8.0% 基礎4 | MA60 -1（月季雙線下））
  2347 |     83.1 |     91.2 |    -8.8% |     87.2 |    -4.7% |    3 | 3分（MA20 -8.9% 基礎4 | MA60 -1（月季雙線下））
  6213 |    348.5 |    343.1 |    +1.6% |    293.3 |   +18.8% |   11 | 11分（MA20 +1.6% 基礎10 | MA60 +1（月季雙線上））
  2367 |     48.3 |     55.2 |   -12.5% |     60.7 |   -20.4% |    1 | 1分（MA20 -12.5% 基礎2 | MA60 -1（月季雙線下））
  2472 |    321.0 |    384.5 |   -16.5% |    305.2 |    +5.2% |    3 | 3分（MA20 -16.5% 基礎2 | MA60 +1（月線下但季線撐））
  2886 |     47.0 |     46.0 |    +2.2% |     42.3 |   +11.1% |   11 | 11分（MA20 +2.2% 基礎10 | MA60 +1（月季雙線上））
  2892 |     33.5 |     32.9 |    +2.0% |     30.2 |   +11.2% |   11 | 11分（MA20 +2.1% 基礎10 | MA60 +1（月季雙線上））
  2408 |    448.0 |    437.8 |    +2.3% |    346.7 |   +29.2% |   11 | 11分（MA20 +2.3% 基礎10 | MA60 +1（月季雙線上））
  2105 |     32.7 |     31.1 |    +4.9% |     32.1 |    +1.8% |   11 | 11分（MA20 +4.9% 基礎10 | MA60 +1（月季雙線上））
  1709 |     28.0 |     23.0 |   +22.0% |     20.4 |   +37.1% |   15 | 15分（MA20 +22.0% 基礎14 | MA60 +1（月季雙線上））
  2812 |     20.5 |     20.2 |    +1.6% |     19.7 |    +4.3% |   11 | 11分（MA20 +1.6% 基礎10 | MA60 +1（月季雙線上））
