抓取 2 檔營收...

    股票 |      最新營收月 |     YoY% |     5日回檔 | 評分建議
----------------------------------------------------------------------
查詢近5日回檔...
  2618 |    2026-05 |   +22.1% |    -3.8% | 不加分（年增+22%但回檔僅-3.8%，未達-5%）
  1301 |    2026-05 |    +0.7% |   +11.0% | 不調整
  3481 |    2026-05 |   +10.3% |   -10.9% | +5分（年增+10%+回檔-10.9%）
  1402 |    2026-02 |    -8.9% |    -7.1% | -5分（連續衰退10個月）
  2891 |    2026-02 |    +1.2% |    -7.4% | 不調整
  2887 |    2026-05 |  +117.9% |    +1.6% | 不加分（年增+118%但回檔僅1.6%，未達-2%）
  1326 |    2026-02 |   -15.3% |    +5.8% | 不調整
  2883 |    2026-04 |  +805.6% |    -2.0% | 不加分（年增+806%但回檔僅-2.0%，未達-2%）
  6505 |    2026-02 |   -17.3% |   +14.1% | 不調整
  3576 |    2026-02 |   -55.9% |    +8.7% | -5分（連續衰退10個月）
  8039 |    2026-02 |    -4.8% |   +31.6% | 不調整
  2884 |    2026-02 |    +4.0% |    +0.0% | 不調整
  3045 |    2026-02 |    -0.0% |    -6.4% | 不調整
  2027 |    2026-02 |   +13.6% |    -4.4% | 不加分（年增+14%但回檔僅-4.4%，未達-5%）
  5876 |    2026-02 |    +0.6% |    +5.4% | 不調整
  6116 |    2026-02 |   -10.2% |    -8.5% | 不調整
  2867 |    2026-02 |   -30.2% |    +1.1% | 不調整
  2633 |    2026-02 |   +13.4% |    -3.4% | 不加分（年增+13%但回檔僅-3.4%，未達-5%）
  2303 |    2026-02 |    +6.3% |    -2.6% | 不調整
  3034 |    2026-04 |    +1.2% |   -11.9% | 不調整
  5880 |    2026-05 |   +17.5% |    +1.2% | 不加分（年增+18%但回檔僅1.2%，未達-5%）
  2484 |    2026-06 |    -1.4% |    -7.6% | 不調整
  1718 |    2026-02 |    -0.1% |    -7.0% | 不調整
  2880 |    2026-05 |   +58.3% |    +0.8% | 不加分（年增+58%但回檔僅0.8%，未達-2%）
  2002 |    2026-02 |   -12.9% |    -0.5% | 不調整
  3231 |    2026-05 |   +39.2% |    -8.4% | +5分（年增+39%+回檔-8.4%）
  2347 |    2026-02 |    +5.3% |    -9.0% | 不調整
  6213 |    2026-02 |    +9.0% |    -8.0% | 不調整
  2367 |    2026-02 |   -19.1% |    -5.3% | 不調整
  2472 |    2026-02 |    +0.5% |   -13.0% | 不調整
  2886 |    2026-05 |   +22.3% |    +0.4% | 不加分（年增+22%但回檔僅0.4%，未達-5%）
  2892 |    2026-05 |   +26.9% |    +0.8% | 不加分（年增+27%但回檔僅0.8%，未達-5%）
  2408 |    2026-02 |  +586.7% |   +11.2% | 不加分（年增+587%但回檔僅11.2%，未達-2%）
  2105 |    2026-02 |   -17.0% |    +0.6% | 不調整
  1709 |    2026-05 |    +5.4% |   +14.5% | 不調整
  2812 |    2026-02 |   +11.8% |    -0.7% | 不加分（年增+12%但回檔僅-0.7%，未達-5%）
  2356 |    2026-05 |   +35.3% |    -2.6% | +5分（年增+35%+回檔-2.6%）
  6669 |    2026-04 |   +29.7% |    -2.2% | 不加分（年增+30%但回檔僅-2.2%，未達-5%）
  3706 |    2026-02 |   +25.3% |    +1.9% | 不加分（年增+25%但回檔僅1.9%，未達-5%）
  2610 |    2026-05 |   +27.7% |    -7.3% | +5分（年增+28%+回檔-7.3%）
  3208 |        N/A |      N/A |      N/A | 無數據
  2357 |    2026-04 |   +45.7% |    +6.0% | 不加分（年增+46%但回檔僅6.0%，未達-2%）
  8046 |    2026-02 |   +12.8% |   +25.2% | 不加分（年增+13%但回檔僅25.2%，未達-5%）
  2382 |    2026-02 |   +43.2% |    +1.9% | 不加分（年增+43%但回檔僅1.9%，未達-2%）
  2301 |    2026-05 |   +29.6% |    -0.2% | 不加分（年增+30%但回檔僅-0.2%，未達-5%）
  2634 |    2026-05 |   +18.9% |   +14.9% | 不加分（年增+19%但回檔僅14.9%，未達-5%）
  2606 |    2026-02 |   +16.2% |    +0.5% | 不加分（年增+16%但回檔僅0.5%，未達-5%）
  2882 |    2026-05 |   +28.8% |    -0.9% | 不加分（年增+29%但回檔僅-0.9%，未達-5%）
  1303 |    2026-05 |   +31.4% |   +26.1% | 不加分（年增+31%但回檔僅26.1%，未達-2%）
  2615 |    2026-02 |    -0.5% |    +3.1% | -5分（連續衰退10個月）
  2603 |    2026-02 |   -20.7% |    +3.5% | -5分（連續衰退10個月）

結果已存: C:\Users\walter.huang\Documents\github\stock\data\2026-07-15\revenue_check.json
