查詢價格位置...

    股票 |       現價 |     MA20 |  vs MA20 |     MA60 |  vs MA60 |   得分 | 評分建議
-----------------------------------------------------------------------------------------------
  2303 |    126.0 |    151.8 |   -17.0% |    135.4 |    -7.0% |    1 | 1分（MA20 -17.0% 基礎2 | MA60 -1（月季雙線下））
  3481 |     47.3 |     59.4 |   -20.3% |     51.6 |    -8.2% |    1 | 1分（MA20 -20.3% 基礎2 | MA60 -1（月季雙線下））
  2618 |     42.0 |     41.9 |    +0.2% |     38.9 |    +7.7% |   11 | 11分（MA20 +0.2% 基礎10 | MA60 +1（月季雙線上））
  1303 |    174.0 |    191.8 |    -9.3% |    134.5 |   +29.4% |    5 | 5分（MA20 -9.3% 基礎4 | MA60 +1（月線下但季線撐））
  2812 |     20.8 |     20.4 |    +1.6% |     19.7 |    +5.3% |   11 | 11分（MA20 +1.6% 基礎10 | MA60 +1（月季雙線上））
  2890 |     38.5 |     39.3 |    -1.9% |     34.4 |   +12.0% |    8 | 8分（MA20 -1.9% 基礎7 | MA60 +1（月線下但季線撐））
  2412 |    140.5 |    138.1 |    +1.8% |    139.4 |    +0.8% |   11 | 11分（MA20 +1.8% 基礎10 | MA60 +1（月季雙線上））
  5880 |     26.0 |     25.2 |    +2.8% |     24.0 |    +8.0% |   11 | 11分（MA20 +2.8% 基礎10 | MA60 +1（月季雙線上））
  2834 |     18.2 |     17.9 |    +1.4% |     17.1 |    +6.6% |   11 | 11分（MA20 +1.4% 基礎10 | MA60 +1（月季雙線上））
  1101 |     24.4 |     23.5 |    +3.9% |     24.1 |    +1.2% |   11 | 11分（MA20 +3.9% 基礎10 | MA60 +1（月季雙線上））
  2885 |     64.7 |     66.2 |    -2.2% |     62.3 |    +3.9% |    8 | 8分（MA20 -2.2% 基礎7 | MA60 +1（月線下但季線撐））
  3045 |    113.5 |    112.9 |    +0.5% |    114.2 |    -0.6% |   10 | 10分（MA20 +0.5% 基礎10 | MA60 0（月線上但季線壓））
  3231 |    177.0 |    154.4 |   +14.6% |    153.7 |   +15.2% |   13 | 13分（MA20 +14.6% 基礎12 | MA60 +1（月季雙線上））
  4904 |    107.5 |    101.1 |    +6.3% |    100.9 |    +6.6% |   13 | 13分（MA20 +6.3% 基礎12 | MA60 +1（月季雙線上））
  2002 |     19.2 |     18.8 |    +2.6% |     18.8 |    +2.4% |   11 | 11分（MA20 +2.6% 基礎10 | MA60 +1（月季雙線上））
  2610 |     21.2 |     21.6 |    -1.5% |     20.4 |    +4.2% |    8 | 8分（MA20 -1.5% 基礎7 | MA60 +1（月線下但季線撐））
  2884 |     36.4 |     34.9 |    +4.2% |     33.6 |    +8.4% |   11 | 11分（MA20 +4.2% 基礎10 | MA60 +1（月季雙線上））
  2887 |     35.0 |     34.7 |    +0.7% |     29.3 |   +19.3% |   11 | 11分（MA20 +0.7% 基礎10 | MA60 +1（月季雙線上））
  2880 |     41.4 |     39.3 |    +5.4% |     35.8 |   +15.5% |   13 | 13分（MA20 +5.4% 基礎12 | MA60 +1（月季雙線上））
  2882 |     98.5 |     96.1 |    +2.5% |     92.9 |    +6.1% |   11 | 11分（MA20 +2.5% 基礎10 | MA60 +1（月季雙線上））
