
    股票 |         數據日期 |      外資持股比 |      週變化 |         評分建議
-----------------------------------------------------------------
  2317 |   2026-05-25 |     40.35% |   +0.37% | 不調整（小增）
  2883 |   2026-06-30 |     25.01% |   +0.07% | 不調整（小增）
  2887 |   2026-06-30 |     23.38% |   -0.02% | 不調整（微減<0.1%）
  2618 |   2026-06-30 |     22.80% |   -0.16% | -3分（週減≥0.1%）
  2330 |   2026-03-31 |     70.76% |   -0.09% | 不調整（微減<0.1%）
  3231 |   2026-06-30 |     26.07% |   -0.29% | -3分（週減≥0.1%）
  2885 |   2026-03-31 |     26.14% |   +0.00% | 不調整（微減<0.1%）
  2890 |   2026-06-30 |     29.55% |   -0.11% | -3分（週減≥0.1%）
  2882 |   2026-06-30 |     22.08% |   +0.33% | 不調整（小增）
  2610 |   2026-06-30 |     15.64% |   -0.22% | -3分（週減≥0.1%）
  2891 |   2026-05-25 |     34.66% |   +0.05% | 不調整（小增）
  5880 |   2026-06-30 |     16.01% |   -0.02% | 不調整（微減<0.1%）
  2324 |   2026-03-31 |     35.29% |   +0.30% | 不調整（小增）
  2881 |   2026-05-25 |     17.06% |   +0.12% | 不調整（小增）
  1216 |   2026-05-25 |     32.31% |   -0.11% | -3分（週減≥0.1%）
  2884 |   2026-05-25 |     30.31% |   -0.08% | 不調整（微減<0.1%）
  2412 |   2026-05-25 |     17.43% |   -0.11% | -3分（週減≥0.1%）
  2834 |   2026-05-25 |     16.08% |   -0.14% | -3分（週減≥0.1%）
  2892 |   2026-06-30 |     25.62% |   -0.18% | -3分（週減≥0.1%）
  2357 |   2026-05-25 |     33.26% |   +0.18% | 不調整（小增）
  1605 |   2026-05-25 |     15.11% |   +0.25% | 不調整（小增）
  2409 |   2026-06-30 |     13.77% |   +1.12% | +5分（大增>0.5%）
  3045 |   2026-03-31 |     12.87% |   +0.01% | 不調整（小增）
  2886 |   2026-06-30 |     19.92% |   -0.28% | -3分（週減≥0.1%）
  2867 |   2026-05-25 |     18.20% |   -0.06% | 不調整（微減<0.1%）
  1402 |   2026-05-25 |     18.45% |   +0.12% | 不調整（小增）
  2301 |   2026-06-30 |     40.74% |   +0.32% | 不調整（小增）
  2353 |   2026-06-30 |     10.25% |   +0.41% | 不調整（小增）
  2347 |   2026-05-25 |     33.31% |   +0.09% | 不調整（小增）
  4904 |   2026-03-31 |     22.18% |   -0.01% | 不調整（微減<0.1%）
  2002 |   2026-05-25 |     12.78% |   +0.20% | 不調整（小增）
  2609 |   2026-05-25 |     14.06% |   -0.27% | -3分（週減≥0.1%）
  2615 |   2026-05-25 |     42.72% |   -0.13% | -3分（週減≥0.1%）
  2313 |   2026-05-25 |     27.96% |   +0.81% | +5分（大增>0.5%）
  2603 |   2026-03-31 |     20.05% |   -0.14% | -3分（週減≥0.1%）
  2646 |   2026-05-25 |      2.82% |   +0.03% | 不調整（小增）
  2356 |   2026-06-30 |     16.51% |   -0.06% | 不調整（微減<0.1%）
  5871 |   2026-05-25 |     46.05% |   -0.19% | -3分（週減≥0.1%）
  5876 |   2026-05-11 |     53.61% |   +0.31% | 不調整（小增）
  1102 |   2026-05-25 |     15.33% |   -0.51% | -3分（週減≥0.1%）

結果已存: C:\Users\walter.huang\Documents\github\stock\data\2026-08-03\foreign_ratio_check.json
