
    股票 |      最新營收月 |     YoY% |     5日回檔 | 評分建議
----------------------------------------------------------------------
查詢近5日回檔...
  2317 |    2026-02 |    +8.1% |    -0.8% | 不調整
  2883 |    2026-04 |  +805.6% |    +0.7% | 不加分（年增+806%但回檔僅0.7%，未達-2%）
  2887 |    2026-05 |  +117.9% |    +5.3% | 不加分（年增+118%但回檔僅5.3%，未達-2%）
  2618 |    2026-05 |   +22.1% |    +6.4% | 不加分（年增+22%但回檔僅6.4%，未達-5%）
  2330 |    2026-02 |   +22.2% |    +3.2% | 不加分（年增+22%但回檔僅3.2%，未達-5%）
  3231 |    2026-05 |   +39.2% |    -1.7% | 不加分（年增+39%但回檔僅-1.7%，未達-2%）
  2885 |    2026-02 |   +28.4% |    +7.9% | 不加分（年增+28%但回檔僅7.9%，未達-5%）
  2890 |    2026-05 |   +82.7% |    +5.3% | 不加分（年增+83%但回檔僅5.3%，未達-2%）
  2882 |    2026-05 |   +28.8% |    +4.6% | 不加分（年增+29%但回檔僅4.6%，未達-5%）
  2610 |    2026-05 |   +27.7% |    +9.3% | 不加分（年增+28%但回檔僅9.3%，未達-5%）
  2891 |    2026-02 |    +1.2% |    +2.0% | 不調整
  5880 |    2026-05 |   +17.5% |    +7.6% | 不加分（年增+18%但回檔僅7.6%，未達-5%）
  2324 |    2026-02 |   -21.9% |    -3.2% | 不調整
  2881 |    2026-02 |   -23.0% |    +2.0% | 不調整
  1216 |    2026-02 |    +8.3% |    -4.7% | 不調整
  2884 |    2026-02 |    +4.0% |    +7.5% | 不調整
  2412 |    2026-02 |    +2.7% |    +0.4% | 不調整
  2834 |    2026-02 |    -4.6% |    +1.1% | 不調整
  2892 |    2026-05 |   +26.9% |    +7.1% | 不加分（年增+27%但回檔僅7.1%，未達-5%）
  2357 |    2026-04 |   +45.7% |    +5.1% | 不加分（年增+46%但回檔僅5.1%，未達-2%）
  1605 |    2026-02 |   -23.1% |    -4.3% | 不調整
  2409 |    2026-05 |    -1.4% |    -5.1% | 不調整
  3045 |    2026-02 |    -0.0% |    -0.9% | 不調整
  2886 |    2026-05 |   +22.3% |    +9.6% | 不加分（年增+22%但回檔僅9.6%，未達-5%）
  2867 |    2026-02 |   -30.2% |    +6.7% | 不調整
  1402 |    2026-02 |    -8.9% |    -0.7% | -5分（連續衰退10個月）
  2301 |    2026-05 |   +29.6% |    -2.6% | 不加分（年增+30%但回檔僅-2.6%，未達-5%）
  2353 |    2026-05 |   +36.5% |    -4.0% | +5分（年增+36%+回檔-4.0%）
  2347 |    2026-02 |    +5.3% |    +5.8% | 不調整
  4904 |    2026-02 |    +5.1% |    -0.5% | 不調整
  2002 |    2026-02 |   -12.9% |    -1.0% | 不調整
  2609 |    2026-02 |   -15.3% |    -1.4% | -5分（連續衰退10個月）
  2615 |    2026-02 |    -0.5% |    -2.6% | -5分（連續衰退10個月）
  2313 |    2026-02 |    +0.0% |   -16.1% | 不調整
  2603 |    2026-02 |   -20.7% |    -1.0% | -5分（連續衰退10個月）
  2646 |    2026-02 |   +41.5% |    +2.4% | 不加分（年增+42%但回檔僅2.4%，未達-2%）
  2356 |    2026-05 |   +35.3% |    -4.2% | +5分（年增+35%+回檔-4.2%）
  5871 |    2026-02 |    -3.6% |    -5.2% | -5分（連續衰退10個月）
  5876 |    2026-02 |    +0.6% |    -0.5% | 不調整
  1102 |    2026-02 |   -16.5% |    +0.8% | 不調整

結果已存: C:\Users\walter.huang\Documents\github\stock\data\2026-08-03\revenue_check.json
