抓取 1 檔持股數據...

    股票 |         數據日期 |      外資持股比 |      週變化 |         評分建議
-----------------------------------------------------------------
  2344 |   2026-05-25 |     23.45% |   +1.57% | +5分（大增>0.5%）
  3231 |   2026-06-30 |     26.07% |   -0.29% | -3分（週減≥0.1%）
  2408 |   2026-05-25 |     11.43% |   +0.00% | 不調整（微減<0.1%）
  2356 |   2026-06-30 |     16.51% |   -0.06% | 不調整（微減<0.1%）
  2324 |   2026-03-31 |     35.29% |   +0.30% | 不調整（小增）
  2891 |   2026-05-25 |     34.66% |   +0.05% | 不調整（小增）
  2312 |   2026-06-30 |      6.89% |   +0.40% | 不調整（小增）
  2317 |   2026-05-25 |     40.35% |   +0.37% | 不調整（小增）
  2337 |   2026-05-25 |     25.58% |   +0.78% | +5分（大增>0.5%）
  1605 |   2026-05-25 |     15.11% |   +0.25% | 不調整（小增）
  3711 |   2026-06-30 |     78.14% |   +0.12% | 不調整（小增）
  2332 |   2026-05-25 |     11.36% |   +0.14% | 不調整（小增）
  3042 |   2026-03-31 |     15.45% |   +0.33% | 不調整（小增）
  1216 |   2026-05-25 |     32.31% |   -0.11% | -3分（週減≥0.1%）
  4938 |   2026-06-30 |     28.67% |   +0.13% | 不調整（小增）
  2006 |   2026-08-03 |     26.40% |   +0.60% | +5分（大增>0.5%）
  2027 |   2026-05-25 |     18.27% |   +0.46% | 不調整（小增）
  2313 |   2026-05-25 |     27.96% |   +0.81% | +5分（大增>0.5%）
  2327 |   2026-05-25 |     51.78% |   -0.05% | 不調整（微減<0.1%）
  3706 |   2026-04-17 |      9.71% |   +0.51% | +5分（大增>0.5%）
  3035 |   2026-05-21 |     11.63% |   +3.02% | +5分（大增>0.5%）
  2359 |   2026-05-25 |      4.03% |   -0.28% | -3分（週減≥0.1%）
  2382 |   2026-05-25 |     25.34% |   -0.52% | -3分（週減≥0.1%）
  2454 |   2026-05-25 |     55.97% |   -0.08% | 不調整（微減<0.1%）
  3443 |   2026-04-07 |     28.87% |   -0.04% | 不調整（微減<0.1%）
  3037 |   2026-06-30 |     38.37% |   +0.21% | 不調整（小增）
  2376 |   2026-06-30 |     22.33% |   +0.15% | 不調整（小增）
  3006 |   2026-05-25 |     31.76% |   -1.28% | -3分（週減≥0.1%）
  6282 |   2026-05-25 |     19.78% |   +0.76% | +5分（大增>0.5%）
  2388 |   2026-04-30 |     15.22% |   +0.15% | 不調整（小增）
  5388 |   2026-05-25 |     19.69% |   +0.57% | +5分（大增>0.5%）
  2603 |   2026-03-31 |     20.05% |   -0.14% | -3分（週減≥0.1%）
  2615 |   2026-05-25 |     42.72% |   -0.13% | -3分（週減≥0.1%）
  2883 |   2026-06-30 |     25.01% |   +0.07% | 不調整（小增）
  2610 |   2026-06-30 |     15.64% |   -0.22% | -3分（週減≥0.1%）
  2618 |   2026-06-30 |     22.80% |   -0.16% | -3分（週減≥0.1%）

結果已存: C:\Users\walter.huang\Documents\github\stock\data\2026-08-04\foreign_ratio_check.json
