查詢價格位置...

    股票 |       現價 |     MA20 |  vs MA20 |     MA60 |  vs MA60 |   得分 | 評分建議
-----------------------------------------------------------------------------------------------
  2344 |    143.0 |    157.7 |    -9.3% |    163.1 |   -12.3% |    3 | 3分（MA20 -9.3% 基礎4 | MA60 -1（月季雙線下））
  3231 |    186.0 |    157.8 |   +17.9% |    156.1 |   +19.2% |   15 | 15分（MA20 +17.9% 基礎14 | MA60 +1（月季雙線上））
  2408 |    396.5 |    409.1 |    -3.1% |    385.6 |    +2.8% |    8 | 8分（MA20 -3.1% 基礎7 | MA60 +1（月線下但季線撐））
  2356 |     63.9 |     62.6 |    +2.0% |     63.9 |    -0.1% |   10 | 10分（MA20 +2.0% 基礎10 | MA60 0（月線上但季線壓））
  2324 |     36.3 |     35.9 |    +1.3% |     35.5 |    +2.3% |   11 | 11分（MA20 +1.3% 基礎10 | MA60 +1（月季雙線上））
  2891 |     64.8 |     64.8 |    -0.1% |     64.6 |    +0.3% |    8 | 8分（MA20 -0.1% 基礎7 | MA60 +1（月線下但季線撐））
  2312 |     31.8 |     32.2 |    -1.3% |     34.0 |    -6.5% |    6 | 6分（MA20 -1.3% 基礎7 | MA60 -1（月季雙線下））
  2317 |    253.0 |    242.0 |    +4.5% |    255.0 |    -0.8% |   10 | 10分（MA20 +4.5% 基礎10 | MA60 0（月線上但季線壓））
  2337 |    110.5 |    126.2 |   -12.4% |    146.5 |   -24.6% |    1 | 1分（MA20 -12.5% 基礎2 | MA60 -1（月季雙線下））
  1605 |     32.8 |     32.9 |    -0.4% |     35.7 |    -8.1% |    6 | 6分（MA20 -0.4% 基礎7 | MA60 -1（月季雙線下））
  3711 |    610.0 |    620.0 |    -1.6% |    604.7 |    +0.9% |    8 | 8分（MA20 -1.6% 基礎7 | MA60 +1（月線下但季線撐））
  2332 |     22.2 |     22.7 |    -2.4% |     18.5 |   +20.1% |    8 | 8分（MA20 -2.4% 基礎7 | MA60 +1（月線下但季線撐））
  3042 |    154.5 |    172.4 |   -10.4% |    188.5 |   -18.1% |    1 | 1分（MA20 -10.4% 基礎2 | MA60 -1（月季雙線下））
  1216 |     73.0 |     77.7 |    -6.1% |     75.4 |    -3.1% |    3 | 3分（MA20 -6.1% 基礎4 | MA60 -1（月季雙線下））
  4938 |     86.6 |     83.6 |    +3.6% |     84.6 |    +2.4% |   11 | 11分（MA20 +3.6% 基礎10 | MA60 +1（月季雙線上））
  2006 |     80.4 |     71.7 |   +12.1% |     68.9 |   +16.8% |   13 | 13分（MA20 +12.1% 基礎12 | MA60 +1（月季雙線上））
  2027 |     44.5 |     41.9 |    +6.1% |     41.6 |    +6.8% |   13 | 13分（MA20 +6.1% 基礎12 | MA60 +1（月季雙線上））
  2313 |    185.5 |    206.9 |   -10.3% |    238.8 |   -22.3% |    1 | 1分（MA20 -10.3% 基礎2 | MA60 -1（月季雙線下））
  2327 |    552.0 |    700.5 |   -21.2% |    768.8 |   -28.2% |    1 | 1分（MA20 -21.2% 基礎2 | MA60 -1（月季雙線下））
  3706 |     89.5 |     89.2 |    +0.4% |     87.8 |    +2.0% |   11 | 11分（MA20 +0.4% 基礎10 | MA60 +1（月季雙線上））
  3035 |    160.0 |    192.1 |   -16.7% |    200.0 |   -20.0% |    1 | 1分（MA20 -16.7% 基礎2 | MA60 -1（月季雙線下））
  2359 |    132.5 |    138.1 |    -4.1% |    136.9 |    -3.2% |    6 | 6分（MA20 -4.1% 基礎7 | MA60 -1（月季雙線下））
  2382 |    296.5 |    337.9 |   -12.3% |    349.1 |   -15.1% |    1 | 1分（MA20 -12.3% 基礎2 | MA60 -1（月季雙線下））
  2454 |   3910.0 |   3675.0 |    +6.4% |   3968.9 |    -1.5% |   12 | 12分（MA20 +6.4% 基礎12 | MA60 0（月線上但季線壓））
  3443 |   4185.0 |   4056.2 |    +3.2% |   4548.5 |    -8.0% |   10 | 10分（MA20 +3.2% 基礎10 | MA60 0（月線上但季線壓））
  3037 |    865.0 |    836.4 |    +3.4% |    913.8 |    -5.3% |   10 | 10分（MA20 +3.4% 基礎10 | MA60 0（月線上但季線壓））
  2376 |    324.5 |    335.9 |    -3.4% |    339.0 |    -4.3% |    6 | 6分（MA20 -3.4% 基礎7 | MA60 -1（月季雙線下））
  3006 |    198.0 |    207.6 |    -4.6% |    223.0 |   -11.2% |    6 | 6分（MA20 -4.6% 基礎7 | MA60 -1（月季雙線下））
  6282 |     44.7 |     49.9 |   -10.5% |     55.5 |   -19.5% |    1 | 1分（MA20 -10.5% 基礎2 | MA60 -1（月季雙線下））
  2388 |     75.9 |     71.9 |    +5.6% |     73.6 |    +3.1% |   13 | 13分（MA20 +5.6% 基礎12 | MA60 +1（月季雙線上））
  5388 |     87.4 |     85.3 |    +2.4% |     84.2 |    +3.8% |   11 | 11分（MA20 +2.4% 基礎10 | MA60 +1（月季雙線上））
  2603 |    207.5 |    199.6 |    +4.0% |    205.3 |    +1.1% |   11 | 11分（MA20 +4.0% 基礎10 | MA60 +1（月季雙線上））
  2615 |     86.1 |     82.4 |    +4.5% |     81.3 |    +5.9% |   11 | 11分（MA20 +4.5% 基礎10 | MA60 +1（月季雙線上））
  2883 |     30.4 |     30.1 |    +1.0% |     27.3 |   +11.4% |   11 | 11分（MA20 +1.0% 基礎10 | MA60 +1（月季雙線上））
  2610 |     22.5 |     21.4 |    +5.1% |     20.7 |    +8.4% |   13 | 13分（MA20 +5.1% 基礎12 | MA60 +1（月季雙線上））
  2618 |     43.7 |     41.5 |    +5.3% |     39.6 |   +10.3% |   13 | 13分（MA20 +5.3% 基礎12 | MA60 +1（月季雙線上））

結果已存: C:\Users\walter.huang\Documents\github\stock\data\2026-08-04\price_position_check.json
