抓取 2 檔營收...

    股票 |      最新營收月 |     YoY% |     5日回檔 | 評分建議
----------------------------------------------------------------------
查詢近5日回檔...
  2344 |    2026-02 |   +88.5% |   -10.6% | +5分（年增+88%+回檔-10.6%）
  3231 |    2026-05 |   +39.2% |    +5.1% | 不加分（年增+39%但回檔僅5.1%，未達-2%）
  2408 |    2026-02 |  +586.7% |    -9.1% | +5分（年增+587%+回檔-9.1%）
  2356 |    2026-05 |   +35.3% |    +0.2% | 不加分（年增+35%但回檔僅0.2%，未達-2%）
  2324 |    2026-02 |   -21.9% |    -2.2% | 不調整
  2891 |    2026-02 |    +1.2% |    +2.9% | 不調整
  2312 |    2026-05 |    -8.1% |    -0.6% | -5分（連續衰退5個月）
  2317 |    2026-02 |    +8.1% |    +0.0% | 不調整
  2337 |    2026-02 |   +60.0% |   -12.0% | +5分（年增+60%+回檔-12.0%）
  1605 |    2026-02 |   -23.1% |    +0.5% | 不調整
  3711 |    2026-05 |   +28.6% |    +0.3% | 不加分（年增+29%但回檔僅0.3%，未達-5%）
  2332 |    2026-04 |   +18.5% |    -8.6% | +5分（年增+18%+回檔-8.6%）
  3042 |    2026-02 |    +7.3% |    -2.5% | 不調整
  8422 |    2026-02 |   -42.5% |    +4.3% | -5分（連續衰退4個月）
  1216 |    2026-02 |    +8.3% |    -5.3% | 不調整
  4938 |    2026-05 |   +12.0% |    -0.9% | 不加分（年增+12%但回檔僅-0.9%，未達-5%）
  2006 |    2026-02 |   -30.6% |   +10.1% | 不調整
  4763 |    2026-02 |   -47.6% |    +0.3% | -5分（連續衰退8個月）
  6226 |    2026-06 |   +22.5% |   +15.5% | 不加分（年增+22%但回檔僅15.5%，未達-5%）
  2027 |    2026-02 |   +13.6% |    -0.2% | 不加分（年增+14%但回檔僅-0.2%，未達-5%）
  2313 |    2026-02 |    +0.0% |    -7.0% | 不調整
  9105 |    2026-02 |   -20.0% |    -1.4% | -5分（連續衰退5個月）
  2327 |    2026-02 |   +18.0% |   -11.7% | +5分（年增+18%+回檔-11.7%）
  3706 |    2026-02 |   +25.3% |    -1.9% | 不加分（年增+25%但回檔僅-1.9%，未達-5%）
  3035 |    2026-04 |   -43.1% |   -20.2% | -5分（連續衰退5個月）
  2359 |    2026-06 |   +35.6% |    -8.3% | +5分（年增+36%+回檔-8.3%）
  2382 |    2026-02 |   +43.2% |    -7.9% | +5分（年增+43%+回檔-7.9%）
  2454 |    2026-02 |   -15.6% |    +6.2% | 不調整
  3443 |    2026-03 |   +33.5% |    +3.3% | 不加分（年增+34%但回檔僅3.3%，未達-2%）
  3037 |    2026-05 |   +32.4% |    +2.0% | 不加分（年增+32%但回檔僅2.0%，未達-2%）
  2376 |    2026-05 |    +5.0% |    -7.2% | 不調整
  3006 |    2026-02 |  +128.4% |    -6.6% | +5分（年增+128%+回檔-6.6%）
  6282 |    2026-02 |   +14.6% |    -4.6% | 不加分（年增+15%但回檔僅-4.6%，未達-5%）
  2388 |    2026-02 |    -3.8% |    +2.7% | -5分（連續衰退10個月）
  5388 |    2026-03 |   +86.5% |    -3.5% | +5分（年增+86%+回檔-3.5%）
  2603 |    2026-02 |   -20.7% |    +2.0% | -5分（連續衰退10個月）
  2615 |    2026-02 |    -0.5% |    +2.5% | -5分（連續衰退10個月）
  2883 |    2026-04 |  +805.6% |    -1.0% | 不加分（年增+806%但回檔僅-1.0%，未達-2%）
  2610 |    2026-05 |   +27.7% |    +5.6% | 不加分（年增+28%但回檔僅5.6%，未達-5%）
  2618 |    2026-05 |   +22.1% |    +4.2% | 不加分（年增+22%但回檔僅4.2%，未達-5%）

結果已存: C:\Users\walter.huang\Documents\github\stock\data\2026-08-04\revenue_check.json
