抓取 4 檔持股數據...

    股票 |         數據日期 |      外資持股比 |      週變化 |         評分建議
-----------------------------------------------------------------
  2301 |   2026-06-30 |     40.74% |   +0.32% | 不調整（小增）
  2408 |   2026-05-25 |     11.43% |   +0.00% | 不調整（微減<0.1%）
  3231 |   2026-06-30 |     26.07% |   -0.29% | -3分（週減≥0.1%）
  1216 |   2026-05-25 |     32.31% |   -0.11% | -3分（週減≥0.1%）
  6770 |   2026-03-31 |     12.47% |   +0.40% | 不調整（小增）
  2885 |   2026-03-31 |     26.14% |   +0.00% | 不調整（微減<0.1%）
  2324 |   2026-03-31 |     35.29% |   +0.30% | 不調整（小增）
  8112 |   2026-05-25 |     18.24% |   -2.42% | -3分（週減≥0.1%）
  2377 |   2026-06-30 |     14.00% |   -0.33% | -3分（週減≥0.1%）
  2356 |   2026-06-30 |     16.51% |   -0.06% | 不調整（微減<0.1%）
  3006 |   2026-05-25 |     31.76% |   -1.28% | -3分（週減≥0.1%）
  2891 |   2026-05-25 |     34.66% |   +0.05% | 不調整（小增）
  2376 |   2026-06-30 |     22.33% |   +0.15% | 不調整（小增）
  2344 |   2026-05-25 |     23.45% |   +1.57% | +5分（大增>0.5%）
  3037 |   2026-06-30 |     38.37% |   +0.21% | 不調整（小增）
  3706 |   2026-04-17 |      9.71% |   +0.51% | +5分（大增>0.5%）
  2332 |   2026-05-25 |     11.36% |   +0.14% | 不調整（小增）
  2409 |   2026-06-30 |     13.77% |   +1.12% | +5分（大增>0.5%）
  2618 |   2026-06-30 |     22.80% |   -0.16% | -3分（週減≥0.1%）
  2887 |   2026-06-30 |     23.38% |   -0.02% | 不調整（微減<0.1%）
  2890 |   2026-06-30 |     29.55% |   -0.11% | -3分（週減≥0.1%）
  2308 |   2026-05-25 |     64.28% |   +0.16% | 不調整（小增）
  4938 |   2026-06-30 |     28.67% |   +0.13% | 不調整（小增）
  2883 |   2026-06-30 |     25.01% |   +0.07% | 不調整（小增）
  1605 |   2026-05-25 |     15.11% |   +0.25% | 不調整（小增）
  2388 |   2026-04-30 |     15.22% |   +0.15% | 不調整（小增）
  3034 |   2026-05-07 |     35.16% |   +0.07% | 不調整（小增）
  1802 |   2026-06-30 |      7.95% |   +1.91% | +5分（大增>0.5%）
  2610 |   2026-06-30 |     15.64% |   -0.22% | -3分（週減≥0.1%）
  2486 |   2026-05-25 |     15.60% |   +0.80% | +5分（大增>0.5%）
  2881 |   2026-05-25 |     17.06% |   +0.12% | 不調整（小增）
  2382 |   2026-05-25 |     25.34% |   -0.52% | -3分（週減≥0.1%）
  2303 |   2026-05-25 |     36.26% |   +0.35% | 不調整（小增）
  5347 |   2026-08-04 |     29.91% |   -0.11% | -3分（週減≥0.1%）
  6526 |   2026-08-04 |      7.22% |   +0.04% | 不調整（小增）
  4971 |   2026-08-04 |     15.67% |   +0.26% | 不調整（小增）
  3163 |   2026-04-24 |     31.53% |   -2.30% | -3分（週減≥0.1%）
  4979 |   2026-07-27 |     18.35% |   -1.46% | -3分（週減≥0.1%）
  3081 |   2026-08-04 |     18.61% |   -0.05% | 不調整（微減<0.1%）
  2337 |   2026-05-25 |     25.58% |   +0.78% | +5分（大增>0.5%）
  2451 |   2026-05-25 |     11.36% |   -0.25% | -3分（週減≥0.1%）
  2317 |   2026-05-25 |     40.35% |   +0.37% | 不調整（小增）
  2609 |   2026-05-25 |     14.06% |   -0.27% | -3分（週減≥0.1%）
  2882 |   2026-06-30 |     22.08% |   +0.33% | 不調整（小增）
  2330 |   2026-03-31 |     70.76% |   -0.09% | 不調整（微減<0.1%）
  2313 |   2026-05-25 |     27.96% |   +0.81% | +5分（大增>0.5%）
  3090 |   2026-06-24 |      8.85% |   +0.11% | 不調整（小增）
  1301 |   2026-06-30 |     33.39% |   +0.09% | 不調整（小增）
  2412 |   2026-05-25 |     17.43% |   -0.11% | -3分（週減≥0.1%）
  4904 |   2026-03-31 |     22.18% |   -0.01% | 不調整（微減<0.1%）
  5876 |   2026-05-11 |     53.61% |   +0.31% | 不調整（小增）
  2603 |   2026-03-31 |     20.05% |   -0.14% | -3分（週減≥0.1%）
  2615 |   2026-05-25 |     42.72% |   -0.13% | -3分（週減≥0.1%）
  2027 |   2026-05-25 |     18.27% |   +0.46% | 不調整（小增）
  2812 |   2026-05-25 |      7.72% |   -0.04% | 不調整（微減<0.1%）

結果已存: C:\Users\walter.huang\Documents\github\stock\data\2026-08-05\foreign_ratio_check.json
