抓取 4 檔營收...

    股票 |      最新營收月 |     YoY% |     5日回檔 | 評分建議
----------------------------------------------------------------------
查詢近5日回檔...
  2301 |    2026-05 |   +29.6% |   +29.9% | 不加分（年增+30%但回檔僅29.9%，未達-5%）
  2408 |    2026-02 |  +586.7% |   +11.1% | 不加分（年增+587%但回檔僅11.1%，未達-2%）
  3231 |    2026-05 |   +39.2% |   +14.7% | 不加分（年增+39%但回檔僅14.7%，未達-2%）
  1216 |    2026-02 |    +8.3% |    -4.5% | 不調整
  6770 |    2026-02 |   +12.0% |    +7.7% | 不加分（年增+12%但回檔僅7.7%，未達-5%）
  2885 |    2026-02 |   +28.4% |    +8.7% | 不加分（年增+28%但回檔僅8.7%，未達-5%）
  2324 |    2026-02 |   -21.9% |    +6.6% | 不調整
  8112 |    2026-02 |  +136.8% |    +9.0% | 不加分（年增+137%但回檔僅9.0%，未達-2%）
  2377 |    2026-05 |   -23.7% |    +7.6% | -5分（連續衰退4個月）
  2356 |    2026-05 |   +35.3% |   +12.2% | 不加分（年增+35%但回檔僅12.2%，未達-2%）
  3006 |    2026-02 |  +128.4% |   +13.9% | 不加分（年增+128%但回檔僅13.9%，未達-2%）
  2891 |    2026-02 |    +1.2% |    +3.8% | 不調整
  2376 |    2026-05 |    +5.0% |    +1.5% | 不調整
  2344 |    2026-02 |   +88.5% |    +9.0% | 不加分（年增+88%但回檔僅9.0%，未達-2%）
  3037 |    2026-05 |   +32.4% |   +20.9% | 不加分（年增+32%但回檔僅20.9%，未達-2%）
  3706 |    2026-02 |   +25.3% |    +3.5% | 不加分（年增+25%但回檔僅3.5%，未達-5%）
  2332 |    2026-04 |   +18.5% |    +1.1% | 不加分（年增+18%但回檔僅1.1%，未達-5%）
  2409 |    2026-05 |    -1.4% |    +2.3% | 不調整
  2618 |    2026-05 |   +22.1% |    +2.5% | 不加分（年增+22%但回檔僅2.5%，未達-5%）
  2887 |    2026-05 |  +117.9% |    +4.7% | 不加分（年增+118%但回檔僅4.7%，未達-2%）
  2890 |    2026-05 |   +82.7% |    +2.5% | 不加分（年增+83%但回檔僅2.5%，未達-2%）
  2308 |    2026-02 |   +31.0% |    +2.5% | 不加分（年增+31%但回檔僅2.5%，未達-2%）
  4938 |    2026-05 |   +12.0% |    +6.3% | 不加分（年增+12%但回檔僅6.3%，未達-5%）
  2883 |    2026-04 |  +805.6% |    +3.2% | 不加分（年增+806%但回檔僅3.2%，未達-2%）
  1605 |    2026-02 |   -23.1% |   +10.3% | 不調整
  2388 |    2026-02 |    -3.8% |   +15.0% | -5分（連續衰退10個月）
  3034 |    2026-04 |    +1.2% |    +6.4% | 不調整
  1802 |    2026-05 |   +17.7% |    +8.6% | 不加分（年增+18%但回檔僅8.6%，未達-5%）
  2610 |    2026-05 |   +27.7% |    +3.2% | 不加分（年增+28%但回檔僅3.2%，未達-5%）
  2486 |    2026-02 |    +5.7% |    +7.8% | 不調整
  2881 |    2026-02 |   -23.0% |    +2.4% | 不調整
  2382 |    2026-02 |   +43.2% |    -4.1% | +5分（年增+43%+回檔-4.1%）
  2303 |    2026-02 |    +6.3% |    +4.4% | 不調整
  5347 |    2026-06 |   +33.6% |    +4.7% | 不加分（年增+34%但回檔僅4.7%，未達-2%）
  6526 |    2026-06 |   +14.4% |    +8.1% | 不加分（年增+14%但回檔僅8.1%，未達-5%）
  4971 |    2026-06 |    -6.3% |    +7.7% | 不調整
  3163 |    2026-03 |   +23.7% |   +12.7% | 不加分（年增+24%但回檔僅12.7%，未達-5%）
  4979 |    2026-06 |   +27.7% |    +4.8% | 不加分（年增+28%但回檔僅4.8%，未達-5%）
  3081 |    2026-06 |  +128.1% |   +14.9% | 不加分（年增+128%但回檔僅14.9%，未達-2%）
  2337 |    2026-02 |   +60.0% |    +6.2% | 不加分（年增+60%但回檔僅6.2%，未達-2%）
  2451 |    2026-06 |  +381.5% |   +10.5% | 不加分（年增+382%但回檔僅10.5%，未達-2%）
  2317 |    2026-02 |    +8.1% |    +5.0% | 不調整
  2609 |    2026-02 |   -15.3% |    +0.6% | -5分（連續衰退10個月）
  2882 |    2026-05 |   +28.8% |    +4.0% | 不加分（年增+29%但回檔僅4.0%，未達-5%）
  2330 |    2026-02 |   +22.2% |    +1.8% | 不加分（年增+22%但回檔僅1.8%，未達-5%）
  2313 |    2026-02 |    +0.0% |    +9.1% | 不調整
  3090 |    2026-05 |   +20.0% |    +2.5% | 不加分（年增+20%但回檔僅2.5%，未達-5%）
  1301 |    2026-05 |    +0.7% |    -3.8% | 不調整
  2412 |    2026-02 |    +2.7% |    -3.2% | 不調整
  4904 |    2026-02 |    +5.1% |    -4.7% | 不調整
  5876 |    2026-02 |    +0.6% |    +0.6% | 不調整
  2603 |    2026-02 |   -20.7% |    +3.0% | -5分（連續衰退10個月）
  2615 |    2026-02 |    -0.5% |    +3.0% | -5分（連續衰退10個月）
  2027 |    2026-02 |   +13.6% |    +4.9% | 不加分（年增+14%但回檔僅4.9%，未達-5%）
  2812 |    2026-02 |   +11.8% |    -2.8% | 不加分（年增+12%但回檔僅-2.8%，未達-5%）

結果已存: C:\Users\walter.huang\Documents\github\stock\data\2026-08-05\revenue_check.json
