抓取 2 檔持股數據...

    股票 |         數據日期 |      外資持股比 |      週變化 |         評分建議
-----------------------------------------------------------------
  1101 |   2026-05-25 |     15.08% |   -0.08% | 不調整（微減<0.1%）
  1102 |   2026-05-25 |     15.33% |   -0.51% | -3分（週減≥0.1%）
  1216 |   2026-05-25 |     32.31% |   -0.11% | -3分（週減≥0.1%）
  1301 |   2026-06-30 |     33.39% |   +0.09% | 不調整（小增）
  1402 |   2026-05-25 |     18.45% |   +0.12% | 不調整（小增）
  2002 |   2026-05-25 |     12.78% |   +0.20% | 不調整（小增）
  2006 |   2026-08-03 |     26.40% |   +0.60% | +5分（大增>0.5%）
  2014 |   2026-05-25 |      5.58% |   +0.87% | +5分（大增>0.5%）
  2027 |   2026-05-25 |     18.27% |   +0.46% | 不調整（小增）
  2031 |   2026-08-07 |      9.91% |   +1.29% | +5分（大增>0.5%）
  2049 |   2026-03-31 |     29.84% |   -0.65% | -3分（週減≥0.1%）
  2301 |   2026-06-30 |     40.74% |   +0.32% | 不調整（小增）
  2313 |   2026-05-25 |     27.96% |   +0.81% | +5分（大增>0.5%）
  2317 |   2026-05-25 |     40.35% |   +0.37% | 不調整（小增）
  2324 |   2026-03-31 |     35.29% |   +0.30% | 不調整（小增）
  2330 |   2026-03-31 |     70.76% |   -0.09% | 不調整（微減<0.1%）
  2337 |   2026-05-25 |     25.58% |   +0.78% | +5分（大增>0.5%）
  2354 |   2026-05-25 |     10.41% |   +0.02% | 不調整（小增）
  2376 |   2026-06-30 |     22.33% |   +0.15% | 不調整（小增）
  2383 |   2026-04-01 |     43.87% |   +0.03% | 不調整（小增）
  2408 |   2026-05-25 |     11.43% |   +0.00% | 不調整（微減<0.1%）
  2409 |   2026-06-30 |     13.77% |   +1.12% | +5分（大增>0.5%）
  2426 |   2026-06-25 |     11.90% |   -1.73% | -3分（週減≥0.1%）
  2451 |   2026-05-25 |     11.36% |   -0.25% | -3分（週減≥0.1%）
  2454 |   2026-05-25 |     55.97% |   -0.08% | 不調整（微減<0.1%）
  2467 |   2026-08-07 |     20.15% |   -0.07% | 不調整（微減<0.1%）
  2603 |   2026-03-31 |     20.05% |   -0.14% | -3分（週減≥0.1%）
  2606 |   2026-03-31 |     10.74% |   -0.04% | 不調整（微減<0.1%）
  2609 |   2026-05-25 |     14.06% |   -0.27% | -3分（週減≥0.1%）
  2610 |   2026-06-30 |     15.64% |   -0.22% | -3分（週減≥0.1%）
  2618 |   2026-06-30 |     22.80% |   -0.16% | -3分（週減≥0.1%）
  2637 |   2026-03-31 |     16.66% |   -0.03% | 不調整（微減<0.1%）
  2646 |   2026-05-25 |      2.82% |   +0.03% | 不調整（小增）
  2867 |   2026-05-25 |     18.20% |   -0.06% | 不調整（微減<0.1%）
  2881 |   2026-05-25 |     17.06% |   +0.12% | 不調整（小增）
  2882 |   2026-06-30 |     22.08% |   +0.33% | 不調整（小增）
  2885 |   2026-03-31 |     26.14% |   +0.00% | 不調整（微減<0.1%）
  2887 |   2026-06-30 |     23.38% |   -0.02% | 不調整（微減<0.1%）
  2891 |   2026-05-25 |     34.66% |   +0.05% | 不調整（小增）
  3006 |   2026-05-25 |     31.76% |   -1.28% | -3分（週減≥0.1%）
  3037 |   2026-06-30 |     38.37% |   +0.21% | 不調整（小增）
  3081 |   2026-08-04 |     18.61% |   -0.05% | 不調整（微減<0.1%）
  3090 |   2026-06-24 |      8.85% |   +0.11% | 不調整（小增）
  3131 |   2026-08-07 |     33.58% |   -0.89% | -3分（週減≥0.1%）
  3231 |   2026-06-30 |     26.07% |   -0.29% | -3分（週減≥0.1%）
  3443 |   2026-04-07 |     28.87% |   -0.04% | 不調整（微減<0.1%）
  3706 |   2026-04-17 |      9.71% |   +0.51% | +5分（大增>0.5%）
  3714 |   2026-06-30 |     10.74% |   -0.06% | 不調整（微減<0.1%）
  4566 |   2026-05-25 |      1.80% |   +0.00% | 不調整（微減<0.1%）
  4763 |   2026-08-03 |     47.00% |   +0.34% | 不調整（小增）
  4904 |   2026-03-31 |     22.18% |   -0.01% | 不調整（微減<0.1%）
  4938 |   2026-06-30 |     28.67% |   +0.13% | 不調整（小增）
  4991 |   2026-08-07 |     24.48% |   +0.59% | +5分（大增>0.5%）
  5538 |   2026-08-07 |     64.04% |   +0.04% | 不調整（小增）
  5880 |   2026-06-30 |     16.01% |   -0.02% | 不調整（微減<0.1%）
  6213 |   2026-05-25 |     11.09% |   -0.51% | -3分（週減≥0.1%）
  6230 |   2026-06-30 |     86.96% |   +0.01% | 不調整（小增）
  6269 |   2026-05-25 |     17.77% |   +0.37% | 不調整（小增）
  6669 |   2026-05-08 |     31.82% |   -0.04% | 不調整（微減<0.1%）
  6770 |   2026-03-31 |     12.47% |   +0.40% | 不調整（小增）
  8112 |   2026-05-25 |     18.24% |   -2.42% | -3分（週減≥0.1%）
