查詢價格位置...

    股票 |       現價 |     MA20 |  vs MA20 |     MA60 |  vs MA60 |   得分 | 評分建議
-----------------------------------------------------------------------------------------------
  1101 |     24.5 |     24.0 |    +2.3% |     24.0 |    +2.3% |   11 | 11分（MA20 +2.3% 基礎10 | MA60 +1（月季雙線上））
  1102 |     33.0 |     33.0 |    -0.3% |     34.3 |    -3.9% |    6 | 6分（MA20 -0.3% 基礎7 | MA60 -1（月季雙線下））
  1216 |     75.5 |     76.7 |    -1.5% |     75.3 |    +0.2% |    8 | 8分（MA20 -1.5% 基礎7 | MA60 +1（月線下但季線撐））
  1301 |     55.6 |     59.5 |    -6.5% |     53.5 |    +3.8% |    5 | 5分（MA20 -6.5% 基礎4 | MA60 +1（月線下但季線撐））
  1402 |     27.2 |     27.2 |    +0.1% |     27.4 |    -0.5% |   10 | 10分（MA20 +0.1% 基礎10 | MA60 0（月線上但季線壓））
  2002 |     19.6 |     18.9 |    +3.8% |     18.9 |    +4.1% |   11 | 11分（MA20 +3.8% 基礎10 | MA60 +1（月季雙線上））
  2006 |     85.9 |     75.4 |   +13.9% |     70.4 |   +22.1% |   13 | 13分（MA20 +13.9% 基礎12 | MA60 +1（月季雙線上））
  2014 |     18.0 |     17.1 |    +5.0% |     17.5 |    +2.6% |   11 | 11分（MA20 +5.0% 基礎10 | MA60 +1（月季雙線上））
  2027 |     47.3 |     43.3 |    +9.3% |     42.1 |   +12.2% |   13 | 13分（MA20 +9.3% 基礎12 | MA60 +1（月季雙線上））
  2031 |     46.5 |     40.2 |   +15.8% |     39.7 |   +17.2% |   15 | 15分（MA20 +15.8% 基礎14 | MA60 +1（月季雙線上））
  2049 |    387.0 |    325.0 |   +19.1% |    342.1 |   +13.1% |   15 | 15分（MA20 +19.1% 基礎14 | MA60 +1（月季雙線上））
  2301 |    271.5 |    219.3 |   +23.8% |    219.7 |   +23.6% |   15 | 15分（MA20 +23.8% 基礎14 | MA60 +1（月季雙線上））
  2313 |    215.0 |    203.8 |    +5.5% |    236.2 |    -9.0% |   12 | 12分（MA20 +5.5% 基礎12 | MA60 0（月線上但季線壓））
  2317 |    264.5 |    247.6 |    +6.8% |    255.8 |    +3.4% |   13 | 13分（MA20 +6.8% 基礎12 | MA60 +1（月季雙線上））
  2324 |     36.3 |     36.1 |    +0.7% |     36.1 |    +0.6% |   11 | 11分（MA20 +0.7% 基礎10 | MA60 +1（月季雙線上））
  2330 |   2380.0 |   2358.8 |    +0.9% |   2361.1 |    +0.8% |   11 | 11分（MA20 +0.9% 基礎10 | MA60 +1（月季雙線上））
  2337 |    133.5 |    122.2 |    +9.3% |    143.3 |    -6.8% |   12 | 12分（MA20 +9.3% 基礎12 | MA60 0（月線上但季線壓））
