查詢價格位置...

    股票 |       現價 |     MA20 |  vs MA20 |     MA60 |  vs MA60 |   得分 | 評分建議
-----------------------------------------------------------------------------------------------
  1216 |     75.5 |     76.7 |    -1.5% |     75.3 |    +0.2% |    8 | 8分（MA20 -1.5% 基礎7 | MA60 +1（月線下但季線撐））
  2618 |     42.3 |     42.3 |    +0.0% |     40.3 |    +4.9% |   11 | 11分（MA20 +0.0% 基礎10 | MA60 +1（月季雙線上））
  3231 |    192.5 |    168.8 |   +14.1% |    160.4 |   +20.0% |   13 | 13分（MA20 +14.1% 基礎12 | MA60 +1（月季雙線上））
  6213 |    427.5 |    324.6 |   +31.7% |    307.6 |   +39.0% |   15 | 15分（MA20 +31.7% 基礎14 | MA60 +1（月季雙線上））
  2887 |     35.5 |     34.8 |    +1.7% |     31.2 |   +13.7% |   11 | 11分（MA20 +1.7% 基礎10 | MA60 +1（月季雙線上））
  8112 |     92.8 |     84.7 |    +9.6% |     88.7 |    +4.7% |   13 | 13分（MA20 +9.6% 基礎12 | MA60 +1（月季雙線上））
  2409 |     27.0 |     25.2 |    +7.0% |     26.0 |    +4.0% |   13 | 13分（MA20 +7.0% 基礎12 | MA60 +1（月季雙線上））
  1402 |     27.4 |     27.2 |    +0.4% |     27.4 |    -0.1% |   10 | 10分（MA20 +0.4% 基礎10 | MA60 0（月線上但季線壓））
  2610 |     20.5 |     21.5 |    -4.8% |     21.0 |    -2.5% |    6 | 6分（MA20 -4.8% 基礎7 | MA60 -1（月季雙線下））
  2891 |     66.2 |     63.8 |    +3.7% |     65.5 |    +1.0% |   11 | 11分（MA20 +3.7% 基礎10 | MA60 +1（月季雙線上））
  2603 |    214.5 |    203.1 |    +5.6% |    205.1 |    +4.6% |   13 | 13分（MA20 +5.6% 基礎12 | MA60 +1（月季雙線上））
  2882 |    100.5 |     97.4 |    +3.2% |     96.3 |    +4.3% |   11 | 11分（MA20 +3.2% 基礎10 | MA60 +1（月季雙線上））
  2606 |     67.0 |     63.3 |    +5.8% |     64.6 |    +3.8% |   13 | 13分（MA20 +5.8% 基礎12 | MA60 +1（月季雙線上））
  2002 |     19.5 |     18.9 |    +3.1% |     18.9 |    +3.3% |   11 | 11分（MA20 +3.1% 基礎10 | MA60 +1（月季雙線上））
  2027 |     47.6 |     43.3 |   +10.0% |     42.2 |   +12.9% |   13 | 13分（MA20 +10.0% 基礎12 | MA60 +1（月季雙線上））
  2451 |    294.0 |    263.4 |   +11.6% |    287.8 |    +2.2% |   13 | 13分（MA20 +11.6% 基礎12 | MA60 +1（月季雙線上））
  2354 |     63.5 |     56.5 |   +12.5% |     57.6 |   +10.2% |   13 | 13分（MA20 +12.5% 基礎12 | MA60 +1（月季雙線上））
  6269 |     66.4 |     56.8 |   +16.9% |     64.4 |    +3.1% |   15 | 15分（MA20 +16.9% 基礎14 | MA60 +1（月季雙線上））
  2881 |    128.5 |    126.7 |    +1.4% |    121.8 |    +5.5% |   11 | 11分（MA20 +1.4% 基礎10 | MA60 +1（月季雙線上））
  2408 |    502.0 |    419.4 |   +19.7% |    397.3 |   +26.4% |   15 | 15分（MA20 +19.7% 基礎14 | MA60 +1（月季雙線上））
  2049 |    379.5 |    324.6 |   +16.9% |    342.0 |   +11.0% |   15 | 15分（MA20 +16.9% 基礎14 | MA60 +1（月季雙線上））
  2330 |   2390.0 |   2359.2 |    +1.3% |   2361.2 |    +1.2% |   11 | 11分（MA20 +1.3% 基礎10 | MA60 +1（月季雙線上））
  2301 |    271.5 |    219.3 |   +23.8% |    219.7 |   +23.6% |   15 | 15分（MA20 +23.8% 基礎14 | MA60 +1（月季雙線上））
  2031 |     46.3 |     40.2 |   +15.4% |     39.7 |   +16.9% |   15 | 15分（MA20 +15.4% 基礎14 | MA60 +1（月季雙線上））
  2014 |     18.0 |     17.1 |    +5.3% |     17.5 |    +2.9% |   13 | 13分（MA20 +5.3% 基礎12 | MA60 +1（月季雙線上））
  4763 |     49.9 |     48.6 |    +2.7% |     46.1 |    +8.3% |   11 | 11分（MA20 +2.7% 基礎10 | MA60 +1（月季雙線上））
  2006 |     85.9 |     75.4 |   +13.9% |     70.4 |   +22.1% |   13 | 13分（MA20 +13.9% 基礎12 | MA60 +1（月季雙線上））
  2867 |      9.7 |      9.4 |    +3.0% |      8.6 |   +12.5% |   11 | 11分（MA20 +3.0% 基礎10 | MA60 +1（月季雙線上））
  2885 |     68.7 |     65.5 |    +4.8% |     64.1 |    +7.1% |   11 | 11分（MA20 +4.8% 基礎10 | MA60 +1（月季雙線上））
  3006 |    273.0 |    213.0 |   +28.2% |    224.7 |   +21.5% |   15 | 15分（MA20 +28.2% 基礎14 | MA60 +1（月季雙線上））
  1101 |     24.6 |     24.0 |    +2.5% |     24.0 |    +2.5% |   11 | 11分（MA20 +2.5% 基礎10 | MA60 +1（月季雙線上））
  4904 |    101.0 |    102.8 |    -1.7% |    102.1 |    -1.1% |    6 | 6分（MA20 -1.7% 基礎7 | MA60 -1（月季雙線下））
  1102 |     33.0 |     33.0 |    -0.3% |     34.3 |    -3.9% |    6 | 6分（MA20 -0.3% 基礎7 | MA60 -1（月季雙線下））
  6669 |   6075.0 |   5467.5 |   +11.1% |   5208.1 |   +16.6% |   13 | 13分（MA20 +11.1% 基礎12 | MA60 +1（月季雙線上））
  6230 |    110.0 |    112.6 |    -2.3% |    125.4 |   -12.3% |    6 | 6分（MA20 -2.3% 基礎7 | MA60 -1（月季雙線下））
  3714 |     59.0 |     53.6 |   +10.0% |     63.0 |    -6.3% |   12 | 12分（MA20 +10.0% 基礎12 | MA60 0（月線上但季線壓））
  2426 |     66.7 |     58.9 |   +13.3% |     69.6 |    -4.2% |   12 | 12分（MA20 +13.3% 基礎12 | MA60 0（月線上但季線壓））
  4991 |    511.0 |    408.4 |   +25.1% |    542.4 |    -5.8% |   14 | 14分（MA20 +25.1% 基礎14 | MA60 0（月線上但季線壓））
  3081 |   2535.0 |   1805.5 |   +40.4% |   2034.3 |   +24.6% |   15 | 15分（MA20 +40.4% 基礎14 | MA60 +1（月季雙線上））
  2383 |   5280.0 |   4865.5 |    +8.5% |   5078.2 |    +4.0% |   13 | 13分（MA20 +8.5% 基礎12 | MA60 +1（月季雙線上））
  3037 |    987.0 |    859.0 |   +14.9% |    921.7 |    +7.1% |   13 | 13分（MA20 +14.9% 基礎12 | MA60 +1（月季雙線上））
  2376 |    350.0 |    337.9 |    +3.6% |    340.7 |    +2.7% |   11 | 11分（MA20 +3.6% 基礎10 | MA60 +1（月季雙線上））
  3131 |   2465.0 |   2693.5 |    -8.5% |   3075.4 |   -19.9% |    3 | 3分（MA20 -8.5% 基礎4 | MA60 -1（月季雙線下））
  2467 |    549.0 |    523.1 |    +5.0% |    572.0 |    -4.0% |   10 | 10分（MA20 +5.0% 基礎10 | MA60 0（月線上但季線壓））
  2646 |     20.6 |     21.4 |    -3.4% |     21.0 |    -1.6% |    6 | 6分（MA20 -3.3% 基礎7 | MA60 -1（月季雙線下））
  2609 |     51.6 |     50.4 |    +2.3% |     51.3 |    +0.6% |   11 | 11分（MA20 +2.3% 基礎10 | MA60 +1（月季雙線上））
  2454 |   3960.0 |   3672.2 |    +7.8% |   4000.7 |    -1.0% |   12 | 12分（MA20 +7.8% 基礎12 | MA60 0（月線上但季線壓））
  3443 |   4535.0 |   4069.5 |   +11.4% |   4474.2 |    +1.4% |   13 | 13分（MA20 +11.4% 基礎12 | MA60 +1（月季雙線上））
  2324 |     36.2 |     36.0 |    +0.6% |     36.1 |    +0.5% |   11 | 11分（MA20 +0.5% 基礎10 | MA60 +1（月季雙線上））
  2317 |    264.5 |    247.6 |    +6.8% |    255.8 |    +3.4% |   13 | 13分（MA20 +6.8% 基礎12 | MA60 +1（月季雙線上））
  3706 |     92.7 |     90.0 |    +3.0% |     88.5 |    +4.7% |   11 | 11分（MA20 +3.0% 基礎10 | MA60 +1（月季雙線上））
  6770 |     67.5 |     63.4 |    +6.6% |     70.0 |    -3.6% |   12 | 12分（MA20 +6.6% 基礎12 | MA60 0（月線上但季線壓））
  2337 |    132.5 |    122.1 |    +8.5% |    143.3 |    -7.5% |   12 | 12分（MA20 +8.5% 基礎12 | MA60 0（月線上但季線壓））
  2313 |    212.0 |    203.6 |    +4.1% |    236.1 |   -10.2% |   10 | 10分（MA20 +4.1% 基礎10 | MA60 0（月線上但季線壓））
  3090 |    158.5 |    164.2 |    -3.5% |    228.1 |   -30.5% |    6 | 6分（MA20 -3.5% 基礎7 | MA60 -1（月季雙線下））
  1301 |     55.9 |     59.5 |    -6.0% |     53.5 |    +4.4% |    5 | 5分（MA20 -6.1% 基礎4 | MA60 +1（月線下但季線撐））
  4938 |     89.3 |     85.0 |    +5.1% |     85.3 |    +4.7% |   13 | 13分（MA20 +5.1% 基礎12 | MA60 +1（月季雙線上））
  5538 |     35.0 |     34.4 |    +1.8% |     33.8 |    +3.5% |   11 | 11分（MA20 +1.8% 基礎10 | MA60 +1（月季雙線上））
  5880 |     26.0 |     26.0 |    +0.1% |     24.6 |    +5.7% |   11 | 11分（MA20 +0.1% 基礎10 | MA60 +1（月季雙線上））
  4566 |     75.7 |     68.7 |   +10.2% |     65.7 |   +15.2% |   13 | 13分（MA20 +10.2% 基礎12 | MA60 +1（月季雙線上））
  8454 |    275.0 |    254.4 |    +8.1% |    276.7 |    -0.6% |   12 | 12分（MA20 +8.1% 基礎12 | MA60 0（月線上但季線壓））
  2637 |     88.0 |     82.7 |    +6.5% |     78.6 |   +12.0% |   13 | 13分（MA20 +6.5% 基礎12 | MA60 +1（月季雙線上））

結果已存: C:\Users\walter.huang\Documents\github\stock\data\2026-08-10\price_position_check.json
