抓取 3 檔營收...

    股票 |      最新營收月 |     YoY% |     5日回檔 | 評分建議
----------------------------------------------------------------------
查詢近5日回檔...
  1216 |    2026-02 |    +8.3% |    +3.6% | 不調整
  2618 |    2026-05 |   +22.1% |    -3.1% | 不加分（年增+22%但回檔僅-3.1%，未達-5%）
  3231 |    2026-05 |   +39.2% |    +3.5% | 不加分（年增+39%但回檔僅3.5%，未達-2%）
  6213 |    2026-02 |    +9.0% |   +47.9% | 不調整
  2887 |    2026-05 |  +117.9% |    +0.4% | 不加分（年增+118%但回檔僅0.4%，未達-2%）
  8112 |    2026-02 |  +136.8% |   +13.9% | 不加分（年增+137%但回檔僅13.9%，未達-2%）
  2409 |    2026-05 |    -1.4% |   +13.0% | 不調整
  1402 |    2026-02 |    -8.9% |    +1.7% | -5分（連續衰退10個月）
  2610 |    2026-05 |   +27.7% |    -8.9% | +5分（年增+28%+回檔-8.9%）
  2891 |    2026-02 |    +1.2% |    +1.9% | 不調整
  2603 |    2026-02 |   -20.7% |    +3.1% | -5分（連續衰退10個月）
  2882 |    2026-05 |   +28.8% |    +0.0% | 不加分（年增+29%但回檔僅0.0%，未達-5%）
  2606 |    2026-02 |   +16.2% |    +6.3% | 不加分（年增+16%但回檔僅6.3%，未達-5%）
  2002 |    2026-02 |   -12.9% |    +3.2% | 不調整
  2027 |    2026-02 |   +13.6% |    +7.1% | 不加分（年增+14%但回檔僅7.1%，未達-5%）
  2451 |    2026-06 |  +381.5% |    +4.8% | 不加分（年增+382%但回檔僅4.8%，未達-2%）
  2354 |    2026-06 |   +10.7% |   +12.6% | 不加分（年增+11%但回檔僅12.6%，未達-5%）
  6269 |    2026-07 |    +4.0% |   +22.2% | 不調整
  2881 |    2026-02 |   -23.0% |    -0.8% | 不調整
  2408 |    2026-02 |  +586.7% |   +26.6% | 不加分（年增+587%但回檔僅26.6%，未達-2%）
  2049 |    2026-02 |    -3.0% |   +14.3% | 不調整
  2330 |    2026-02 |   +22.2% |    +0.6% | 不加分（年增+22%但回檔僅0.6%，未達-5%）
  2301 |    2026-05 |   +29.6% |   +18.3% | 不加分（年增+30%但回檔僅18.3%，未達-5%）
  2031 |    2026-07 |   +37.6% |   +20.9% | 不加分（年增+38%但回檔僅20.9%，未達-2%）
  2014 |    2026-02 |   -24.5% |    +7.8% | -5分（連續衰退10個月）
  4763 |    2026-02 |   -47.6% |    +0.1% | -5分（連續衰退8個月）
  2006 |    2026-02 |   -30.6% |    +7.0% | 不調整
  2867 |    2026-02 |   -30.2% |    -1.3% | 不調整
  2885 |    2026-02 |   +28.4% |    +1.0% | 不加分（年增+28%但回檔僅1.0%，未達-5%）
  3006 |    2026-02 |  +128.4% |   +38.1% | 不加分（年增+128%但回檔僅38.1%，未達-2%）
  1101 |    2026-02 |    -5.8% |    +3.2% | 不調整
  4904 |    2026-02 |    +5.1% |    -2.4% | 不調整
  1102 |    2026-02 |   -16.5% |    +0.6% | 不調整
  6669 |    2026-04 |   +29.7% |    +2.5% | 不加分（年增+30%但回檔僅2.5%，未達-5%）
  6230 |    2026-05 |   +21.9% |    +0.5% | 不加分（年增+22%但回檔僅0.5%，未達-5%）
  3714 |    2026-05 |    +8.1% |   +17.3% | 不調整
  2426 |    2026-05 |    +3.1% |   +20.8% | 不調整
  4991 |    2026-07 |    -6.9% |   +31.7% | 不調整
  3081 |    2026-06 |  +128.1% |   +41.6% | 不加分（年增+128%但回檔僅41.6%，未達-2%）
  2383 |    2026-02 |   +45.0% |    +6.0% | 不加分（年增+45%但回檔僅6.0%，未達-2%）
  3037 |    2026-05 |   +32.4% |   +14.0% | 不加分（年增+32%但回檔僅14.0%，未達-2%）
  2376 |    2026-05 |    +5.0% |    +8.0% | 不調整
  3131 |    2026-07 |   +42.4% |    +1.7% | 不加分（年增+42%但回檔僅1.7%，未達-2%）
  2467 |    2026-07 |  +132.7% |   +10.4% | 不加分（年增+133%但回檔僅10.4%，未達-2%）
  2646 |    2026-02 |   +41.5% |    -3.3% | +5分（年增+42%+回檔-3.3%）
  2609 |    2026-02 |   -15.3% |    +1.6% | -5分（連續衰退10個月）
  2454 |    2026-02 |   -15.6% |    +1.3% | 不調整
  3443 |    2026-03 |   +33.5% |    +8.4% | 不加分（年增+34%但回檔僅8.4%，未達-2%）
  2324 |    2026-02 |   -21.9% |    -0.3% | 不調整
  2317 |    2026-02 |    +8.1% |    +4.5% | 不調整
  3706 |    2026-02 |   +25.3% |    +3.6% | 不加分（年增+25%但回檔僅3.6%，未達-5%）
  6770 |    2026-02 |   +12.0% |   +23.2% | 不加分（年增+12%但回檔僅23.2%，未達-5%）
  2337 |    2026-02 |   +60.0% |   +19.0% | 不加分（年增+60%但回檔僅19.0%，未達-2%）
  2313 |    2026-02 |    +0.0% |   +14.3% | 不調整
  3090 |    2026-05 |   +20.0% |   +15.3% | 不加分（年增+20%但回檔僅15.3%，未達-5%）
  1301 |    2026-05 |    +0.7% |    +3.7% | 不調整
  4938 |    2026-05 |   +12.0% |    +3.5% | 不加分（年增+12%但回檔僅3.5%，未達-5%）
  5538 |    2026-07 |   +27.4% |    +2.8% | 不加分（年增+27%但回檔僅2.8%，未達-5%）
  5880 |    2026-05 |   +17.5% |    -3.2% | 不加分（年增+18%但回檔僅-3.2%，未達-5%）
  4566 |    2026-07 |   +31.9% |   +14.3% | 不加分（年增+32%但回檔僅14.3%，未達-2%）
  8454 |    2026-06 |    +6.5% |   +11.5% | 不調整
  2637 |    2026-02 |   +29.9% |    +6.0% | 不加分（年增+30%但回檔僅6.0%，未達-5%）

結果已存: C:\Users\walter.huang\Documents\github\stock\data\2026-08-10\revenue_check.json
