
    股票 |         數據日期 |      外資持股比 |      週變化 |         評分建議
-----------------------------------------------------------------
  2891 |   2026-05-25 |     34.66% |   +0.05% | 不調整（小增）
  2324 |   2026-03-31 |     35.29% |   +0.30% | 不調整（小增）
  2317 |   2026-05-25 |     40.35% |   +0.37% | 不調整（小增）
  3706 |   2026-04-17 |      9.71% |   +0.51% | +5分（大增>0.5%）
  2618 |   2026-06-30 |     22.80% |   -0.16% | -3分（週減≥0.1%）
  2301 |   2026-06-30 |     40.74% |   +0.32% | 不調整（小增）
  2027 |   2026-05-25 |     18.27% |   +0.46% | 不調整（小增）
  2376 |   2026-06-30 |     22.33% |   +0.15% | 不調整（小增）
  2002 |   2026-05-25 |     12.78% |   +0.20% | 不調整（小增）
  2867 |   2026-05-25 |     18.20% |   -0.06% | 不調整（微減<0.1%）
  2887 |   2026-06-30 |     23.38% |   -0.02% | 不調整（微減<0.1%）
  2882 |   2026-06-30 |     22.08% |   +0.33% | 不調整（小增）
  2610 |   2026-06-30 |     15.64% |   -0.22% | -3分（週減≥0.1%）
  2881 |   2026-05-25 |     17.06% |   +0.12% | 不調整（小增）
  4904 |   2026-03-31 |     22.18% |   -0.01% | 不調整（微減<0.1%）
  2603 |   2026-03-31 |     20.05% |   -0.14% | -3分（週減≥0.1%）
  2303 |   2026-05-25 |     36.26% |   +0.35% | 不調整（小增）
  2609 |   2026-05-25 |     14.06% |   -0.27% | -3分（週減≥0.1%）
  2615 |   2026-05-25 |     42.72% |   -0.13% | -3分（週減≥0.1%）
  3231 |   2026-06-30 |     26.07% |   -0.29% | -3分（週減≥0.1%）
  2356 |   2026-06-30 |     16.51% |   -0.06% | 不調整（微減<0.1%）
  1402 |   2026-05-25 |     18.45% |   +0.12% | 不調整（小增）
  2312 |   2026-06-30 |      6.89% |   +0.40% | 不調整（小增）
  2327 |   2026-05-25 |     51.78% |   -0.05% | 不調整（微減<0.1%）
  2883 |   2026-06-30 |     25.01% |   +0.07% | 不調整（小增）
  3711 |   2026-06-30 |     78.14% |   +0.12% | 不調整（小增）
  1216 |   2026-05-25 |     32.31% |   -0.11% | -3分（週減≥0.1%）
  9105 |   2026-04-28 |      1.93% |   +0.43% | 不調整（小增）
  2014 |   2026-05-25 |      5.58% |   +0.87% | +5分（大增>0.5%）
  6285 |   2026-06-30 |     23.84% |   +0.53% | +5分（大增>0.5%）
  2352 |   2026-05-12 |     10.34% |   +0.13% | 不調整（小增）
  3042 |   2026-03-31 |     15.45% |   +0.33% | 不調整（小增）
  2353 |   2026-06-30 |     10.25% |   +0.41% | 不調整（小增）
  2332 |   2026-05-25 |     11.36% |   +0.14% | 不調整（小增）
  2377 |   2026-06-30 |     14.00% |   -0.33% | -3分（週減≥0.1%）

結果已存: C:\Users\walter.huang\Documents\github\stock\data\2026-08-11\foreign_ratio_check.json
