
    股票 |      最新營收月 |     YoY% |     5日回檔 | 評分建議
----------------------------------------------------------------------
查詢近5日回檔...
  2891 |    2026-02 |    +1.2% |    +2.6% | 不調整
  2324 |    2026-02 |   -21.9% |    -0.1% | 不調整
  2317 |    2026-02 |    +8.1% |    +4.5% | 不調整
  3706 |    2026-02 |   +25.3% |    +3.8% | 不加分（年增+25%但回檔僅3.8%，未達-5%）
  2618 |    2026-05 |   +22.1% |    -2.4% | 不加分（年增+22%但回檔僅-2.4%，未達-5%）
  2301 |    2026-05 |   +29.6% |   +18.3% | 不加分（年增+30%但回檔僅18.3%，未達-5%）
  2027 |    2026-02 |   +13.6% |    +6.4% | 不加分（年增+14%但回檔僅6.4%，未達-5%）
  2376 |    2026-05 |    +5.0% |    +7.7% | 不調整
  2002 |    2026-02 |   -12.9% |    +4.2% | 不調整
  2867 |    2026-02 |   -30.2% |    -1.2% | 不調整
  2887 |    2026-05 |  +117.9% |    +1.7% | 不加分（年增+118%但回檔僅1.7%，未達-2%）
  2882 |    2026-05 |   +28.8% |    +0.5% | 不加分（年增+29%但回檔僅0.5%，未達-5%）
  2610 |    2026-05 |   +27.7% |    -8.9% | +5分（年增+28%+回檔-8.9%）
  2881 |    2026-02 |   -23.0% |    -0.8% | 不調整
  4904 |    2026-02 |    +5.1% |    -1.9% | 不調整
  2603 |    2026-02 |   -20.7% |    +3.1% | -5分（連續衰退10個月）
  2303 |    2026-02 |    +6.3% |    +4.2% | 不調整
  2609 |    2026-02 |   -15.3% |    +1.6% | -5分（連續衰退10個月）
  2615 |    2026-02 |    -0.5% |    +1.6% | -5分（連續衰退10個月）
  3231 |    2026-05 |   +39.2% |    +3.8% | 不加分（年增+39%但回檔僅3.8%，未達-2%）
  2356 |    2026-05 |   +35.3% |    +3.3% | 不加分（年增+35%但回檔僅3.3%，未達-2%）
  1402 |    2026-02 |    -8.9% |    +1.3% | -5分（連續衰退10個月）
  2312 |    2026-05 |    -8.1% |    +2.4% | -5分（連續衰退5個月）
  2327 |    2026-02 |   +18.0% |    +3.8% | 不加分（年增+18%但回檔僅3.8%，未達-5%）
  2883 |    2026-04 |  +805.6% |    +2.1% | 不加分（年增+806%但回檔僅2.1%，未達-2%）
  3711 |    2026-05 |   +28.6% |    +3.3% | 不加分（年增+29%但回檔僅3.3%，未達-5%）
  1216 |    2026-02 |    +8.3% |    +3.4% | 不調整
  9105 |    2026-02 |   -20.0% |    +0.1% | -5分（連續衰退5個月）
  2014 |    2026-02 |   -24.5% |    +7.5% | -5分（連續衰退10個月）
  6285 |    2026-05 |   +34.8% |    +7.1% | 不加分（年增+35%但回檔僅7.1%，未達-2%）
  2352 |    2026-02 |    -7.3% |    +4.0% | 不調整
  3042 |    2026-02 |    +7.3% |   +16.8% | 不調整
  1301 |    2026-05 |    +0.7% |    +3.3% | 不調整
  1303 |    2026-05 |   +31.4% |   +12.1% | 不加分（年增+31%但回檔僅12.1%，未達-2%）
  1326 |    2026-02 |   -15.3% |    +4.4% | 不調整
  6505 |    2026-02 |   -17.3% |    +1.9% | 不調整
  2353 |    2026-05 |   +36.5% |    +7.6% | 不加分（年增+36%但回檔僅7.6%，未達-2%）
  2332 |    2026-04 |   +18.5% |    +6.3% | 不加分（年增+18%但回檔僅6.3%，未達-5%）
  2377 |    2026-05 |   -23.7% |    +8.4% | -5分（連續衰退4個月）

結果已存: C:\Users\walter.huang\Documents\github\stock\data\2026-08-11\revenue_check.json
