抓取 1 檔持股數據...

    股票 |         數據日期 |      外資持股比 |      週變化 |         評分建議
-----------------------------------------------------------------
  6770 |   2026-08-11 |     12.24% |   +0.02% | 不調整（小增）
  2883 |   2026-08-11 |     26.63% |   +0.01% | 不調整（小增）
  2610 |   2026-08-11 |     15.89% |   -0.49% | -3分（週減≥0.1%）
  1301 |   2026-08-11 |     33.43% |   -0.01% | 不調整（微減<0.1%）
  1802 |   2026-08-11 |      4.99% |   +0.15% | 不調整（小增）
  1326 |   2026-08-11 |     37.41% |   -0.05% | 不調整（微減<0.1%）
  2344 |   2026-08-11 |     17.75% |   +0.73% | +5分（大增>0.5%）
  1303 |   2026-08-11 |     31.21% |   +0.10% | 不調整（小增）
  1605 |   2026-08-11 |     16.36% |   +0.28% | 不調整（小增）
  2892 |   2026-08-11 |     24.64% |   +0.15% | 不調整（小增）
  2313 |   2026-08-11 |     19.31% |   +0.04% | 不調整（小增）
  6116 |   2026-08-11 |      4.77% |   -0.15% | -3分（週減≥0.1%）
  2618 |   2026-08-11 |     31.98% |   -0.03% | 不調整（微減<0.1%）
  2615 |   2026-08-11 |     45.31% |   +0.16% | 不調整（小增）
  2002 |   2026-08-11 |     15.07% |   +0.16% | 不調整（小增）
  2887 |   2026-08-11 |     23.24% |   +0.00% | 不調整（微減<0.1%）
  2324 |   2026-08-11 |     36.93% |   -0.01% | 不調整（微減<0.1%）
  2337 |   2026-08-11 |     23.48% |   +0.23% | 不調整（小增）
  2356 |   2026-08-11 |     18.22% |   +0.01% | 不調整（小增）
  2481 |   2026-08-11 |     18.31% |   -0.05% | 不調整（微減<0.1%）
  2886 |   2026-08-11 |     18.75% |   -0.12% | -3分（週減≥0.1%）
  2330 |   2026-08-11 |     69.16% |   +0.02% | 不調整（小增）
  3037 |   2026-08-11 |     36.56% |   +0.02% | 不調整（小增）
  6239 |   2026-08-11 |     33.35% |   -0.67% | -3分（週減≥0.1%）
  2408 |   2026-08-11 |     15.27% |   +0.47% | 不調整（小增）
  3231 |   2026-08-11 |     34.62% |   -0.08% | 不調整（微減<0.1%）
  2382 |   2026-08-11 |     23.55% |   -0.16% | -3分（週減≥0.1%）
  3189 |   2026-08-11 |     20.06% |   +0.03% | 不調整（小增）
  3034 |   2026-08-11 |     42.08% |   -0.02% | 不調整（微減<0.1%）
  2353 |   2026-08-11 |     13.31% |   +0.08% | 不調整（小增）
  3045 |   2026-08-11 |     16.34% |   -0.03% | 不調整（微減<0.1%）
  8150 |   2026-08-11 |     38.25% |   -0.46% | -3分（週減≥0.1%）
  2345 |   2026-08-11 |     57.40% |   -0.03% | 不調整（微減<0.1%）
  3380 |   2026-08-11 |      4.57% |   -0.03% | 不調整（微減<0.1%）
  2332 |   2026-08-11 |      8.17% |   -1.46% | -3分（週減≥0.1%）
  3596 |   2026-08-05 |     34.70% |   +0.19% | 不調整（小增）
  2379 |   2026-08-11 |     45.31% |   +0.07% | 不調整（小增）
  2454 |   2026-08-11 |     55.35% |   +0.06% | 不調整（小增）
  3234 |   2026-08-17 |      9.31% |   +0.31% | 不調整（小增）
  4977 |   2026-08-11 |     16.24% |   -0.53% | -3分（週減≥0.1%）
  4908 |   2026-08-26 |      9.35% |   -0.33% | -3分（週減≥0.1%）
  3406 |   2026-08-11 |     43.56% |   +0.11% | 不調整（小增）
  4967 |   2026-08-11 |      9.79% |   -1.61% | -3分（週減≥0.1%）
  2451 |   2026-08-11 |     10.72% |   -0.07% | 不調整（微減<0.1%）
  3260 |   2026-07-21 |     18.47% |   +0.09% | 不調整（小增）
  2449 |   2026-08-11 |     28.90% |   -0.24% | -3分（週減≥0.1%）
  2603 |   2026-08-11 |     22.48% |   +0.27% | 不調整（小增）
  5880 |   2026-08-11 |     16.73% |   -0.17% | -3分（週減≥0.1%）
  2027 |   2026-08-11 |     23.07% |   -0.07% | 不調整（微減<0.1%）
  4904 |   2026-08-11 |     19.47% |   -0.01% | 不調整（微減<0.1%）
  2880 |   2026-08-11 |     13.63% |   -0.06% | 不調整（微減<0.1%）
  2812 |   2026-08-11 |      8.34% |   -0.11% | -3分（週減≥0.1%）
  2845 |   2026-08-11 |      9.56% |   -0.03% | 不調整（微減<0.1%）
  2317 |   2026-08-11 |     40.70% |   -0.01% | 不調整（微減<0.1%）
  3017 |   2026-08-11 |     53.11% |   +0.01% | 不調整（小增）

結果已存: C:\Users\walter.huang\Documents\github\stock\data\2026-08-27\foreign_ratio_check.json
