查詢價格位置...

    股票 |       現價 |     MA20 |  vs MA20 |     MA60 |  vs MA60 |   得分 | 評分建議
-----------------------------------------------------------------------------------------------
  6770 |     70.2 |     66.8 |    +5.2% |     69.9 |    +0.4% |   13 | 13分（MA20 +5.1% 基礎12 | MA60 +1（月季雙線上））
  2883 |     32.2 |     31.0 |    +4.0% |     29.9 |    +7.9% |   11 | 11分（MA20 +4.0% 基礎10 | MA60 +1（月季雙線上））
  2610 |     20.8 |     21.0 |    -0.8% |     21.3 |    -2.2% |    6 | 6分（MA20 -0.8% 基礎7 | MA60 -1（月季雙線下））
  1301 |     60.1 |     56.8 |    +5.7% |     55.9 |    +7.6% |   13 | 13分（MA20 +5.7% 基礎12 | MA60 +1（月季雙線上））
  1802 |     59.7 |     54.8 |    +9.0% |     60.7 |    -1.6% |   12 | 12分（MA20 +9.0% 基礎12 | MA60 0（月線上但季線壓））
  1326 |     60.3 |     58.5 |    +3.1% |     59.0 |    +2.2% |   11 | 11分（MA20 +3.1% 基礎10 | MA60 +1（月季雙線上））
  2344 |    181.5 |    168.4 |    +7.8% |    174.3 |    +4.2% |   13 | 13分（MA20 +7.8% 基礎12 | MA60 +1（月季雙線上））
  1303 |    207.0 |    184.3 |   +12.3% |    167.6 |   +23.5% |   13 | 13分（MA20 +12.3% 基礎12 | MA60 +1（月季雙線上））
  1605 |     39.4 |     36.4 |    +8.3% |     36.0 |    +9.5% |   13 | 13分（MA20 +8.3% 基礎12 | MA60 +1（月季雙線上））
  2892 |     33.4 |     34.3 |    -2.6% |     33.2 |    +0.6% |    8 | 8分（MA20 -2.6% 基礎7 | MA60 +1（月線下但季線撐））
  2313 |    222.0 |    206.5 |    +7.5% |    224.4 |    -1.1% |   12 | 12分（MA20 +7.5% 基礎12 | MA60 0（月線上但季線壓））
  6116 |     14.4 |     13.8 |    +4.8% |     15.8 |    -9.0% |   10 | 10分（MA20 +4.7% 基礎10 | MA60 0（月線上但季線壓））
  2618 |     43.0 |     42.5 |    +1.2% |     41.6 |    +3.3% |   11 | 11分（MA20 +1.2% 基礎10 | MA60 +1（月季雙線上））
  2615 |    115.0 |     97.5 |   +17.9% |     86.9 |   +32.3% |   15 | 15分（MA20 +17.9% 基礎14 | MA60 +1（月季雙線上））
  2002 |     19.4 |     19.1 |    +1.0% |     19.0 |    +2.0% |   11 | 11分（MA20 +1.0% 基礎10 | MA60 +1（月季雙線上））
  2887 |     37.5 |     36.1 |    +4.0% |     33.8 |   +10.9% |   11 | 11分（MA20 +4.0% 基礎10 | MA60 +1（月季雙線上））
  2324 |     41.0 |     38.6 |    +6.2% |     37.4 |    +9.5% |   13 | 13分（MA20 +6.2% 基礎12 | MA60 +1（月季雙線上））
  2337 |    125.5 |    122.7 |    +2.3% |    137.6 |    -8.8% |   10 | 10分（MA20 +2.3% 基礎10 | MA60 0（月線上但季線壓））
  2356 |     66.8 |     65.4 |    +2.1% |     65.9 |    +1.4% |   11 | 11分（MA20 +2.1% 基礎10 | MA60 +1（月季雙線上））
  2481 |    150.5 |    135.1 |   +11.4% |    157.0 |    -4.2% |   12 | 12分（MA20 +11.4% 基礎12 | MA60 0（月線上但季線壓））
  2886 |     46.6 |     48.8 |    -4.5% |     46.9 |    -0.5% |    6 | 6分（MA20 -4.5% 基礎7 | MA60 -1（月季雙線下））
  2330 |   2415.0 |   2379.2 |    +1.5% |   2383.8 |    +1.3% |   11 | 11分（MA20 +1.5% 基礎10 | MA60 +1（月季雙線上））
  3037 |   1160.0 |   1007.1 |   +15.2% |    944.6 |   +22.8% |   15 | 15分（MA20 +15.2% 基礎14 | MA60 +1（月季雙線上））
  6239 |    286.0 |    265.9 |    +7.6% |    300.4 |    -4.8% |   12 | 12分（MA20 +7.6% 基礎12 | MA60 0（月線上但季線壓））
  2408 |    517.0 |    473.7 |    +9.1% |    434.8 |   +18.9% |   13 | 13分（MA20 +9.1% 基礎12 | MA60 +1（月季雙線上））
  3231 |    182.0 |    184.6 |    -1.4% |    167.4 |    +8.7% |    8 | 8分（MA20 -1.4% 基礎7 | MA60 +1（月線下但季線撐））
  2382 |    332.5 |    315.2 |    +5.5% |    347.5 |    -4.3% |   12 | 12分（MA20 +5.5% 基礎12 | MA60 0（月線上但季線壓））
  3189 |    881.0 |    811.1 |    +8.6% |    764.8 |   +15.2% |   13 | 13分（MA20 +8.6% 基礎12 | MA60 +1（月季雙線上））
  3034 |    557.0 |    530.8 |    +4.9% |    515.5 |    +8.1% |   11 | 11分（MA20 +4.9% 基礎10 | MA60 +1（月季雙線上））
  2353 |     31.4 |     30.5 |    +2.8% |     32.4 |    -3.1% |   10 | 10分（MA20 +2.8% 基礎10 | MA60 0（月線上但季線壓））
  3045 |    115.5 |    112.0 |    +3.1% |    114.2 |    +1.1% |   11 | 11分（MA20 +3.1% 基礎10 | MA60 +1（月季雙線上））
