抓取 1 檔營收...

    股票 |      最新營收月 |     YoY% |     5日回檔 | 評分建議
----------------------------------------------------------------------
查詢近5日回檔...
  6770 |    2026-07 |   +70.5% |    +5.4% | 不加分（年增+70%但回檔僅5.4%，未達-2%）
  2883 |    2026-06 |    -6.2% |    +6.1% | 不調整
  2610 |    2026-05 |   +27.7% |    +4.5% | 不加分（年增+28%但回檔僅4.5%，未達-5%）
  1301 |    2026-07 |    +4.8% |    +5.8% | 不調整
  1802 |    2026-07 |   +28.4% |    +4.6% | 不加分（年增+28%但回檔僅4.6%，未達-5%）
  1326 |    2026-02 |   -15.3% |    +6.3% | 不調整
  2344 |    2026-02 |   +88.5% |    +8.0% | 不加分（年增+88%但回檔僅8.0%，未達-2%）
  1303 |    2026-05 |   +31.4% |   +10.4% | 不加分（年增+31%但回檔僅10.4%，未達-2%）
  1605 |    2026-02 |   -23.1% |    +7.1% | 不調整
  2892 |    2026-06 |    +4.9% |    -0.6% | 不調整
  2313 |    2026-07 |   +16.0% |    +7.0% | 不加分（年增+16%但回檔僅7.0%，未達-5%）
  6116 |    2026-02 |   -10.2% |    +1.1% | 不調整
  2618 |    2026-05 |   +22.1% |    +3.4% | 不加分（年增+22%但回檔僅3.4%，未達-5%）
  2615 |    2026-07 |   +50.1% |    +8.0% | 不加分（年增+50%但回檔僅8.0%，未達-2%）
  2002 |    2026-07 |   +21.8% |    +2.1% | 不加分（年增+22%但回檔僅2.1%，未達-5%）
  2887 |    2026-06 |  +198.4% |    +3.0% | 不加分（年增+198%但回檔僅3.0%，未達-2%）
  2324 |    2026-07 |   +38.3% |    +4.2% | 不加分（年增+38%但回檔僅4.2%，未達-2%）
  2337 |    2026-07 |  +180.5% |    +5.5% | 不加分（年增+180%但回檔僅5.5%，未達-2%）
  2356 |    2026-05 |   +35.3% |    +2.5% | 不加分（年增+35%但回檔僅2.5%，未達-2%）
  2481 |    2026-02 |    -1.0% |   +10.3% | 不調整
  2886 |    2026-05 |   +22.3% |    -1.0% | 不加分（年增+22%但回檔僅-1.0%，未達-5%）
  2330 |    2026-07 |   +44.7% |    +2.8% | 不加分（年增+45%但回檔僅2.8%，未達-2%）
  3037 |    2026-05 |   +32.4% |    +2.7% | 不加分（年增+32%但回檔僅2.7%，未達-2%）
  6239 |    2026-05 |   +30.2% |    +9.0% | 不加分（年增+30%但回檔僅9.0%，未達-2%）
  2408 |    2026-02 |  +586.7% |    +7.5% | 不加分（年增+587%但回檔僅7.5%，未達-2%）
  3231 |    2026-07 |   +60.8% |    +0.0% | 不加分（年增+61%但回檔僅0.0%，未達-2%）
  2382 |    2026-02 |   +43.2% |    +0.5% | 不加分（年增+43%但回檔僅0.5%，未達-2%）
  3189 |    2026-02 |   +10.0% |    +3.8% | 不加分（年增+10%但回檔僅3.8%，未達-5%）
  3034 |    2026-04 |    +1.2% |    +4.3% | 不調整
  2353 |    2026-05 |   +36.5% |    +1.6% | 不加分（年增+36%但回檔僅1.6%，未達-2%）
  3045 |    2026-02 |    -0.0% |    +1.8% | 不調整
  8150 |    2026-05 |   +17.7% |    +4.4% | 不加分（年增+18%但回檔僅4.4%，未達-5%）
  2345 |    2026-02 |   +82.7% |    -3.3% | +5分（年增+83%+回檔-3.3%）
  3380 |    2026-02 |    -9.0% |    +2.2% | 不調整
  2332 |    2026-04 |   +18.5% |    -3.4% | 不加分（年增+18%但回檔僅-3.4%，未達-5%）
  3596 |    2026-02 |    -6.6% |    -0.3% | 不調整
  2379 |    2026-03 |    +4.5% |    -0.5% | 不調整
  2454 |    2026-02 |   -15.6% |    +2.6% | 不調整
  3234 |    2026-07 |   +96.9% |   +27.3% | 不加分（年增+97%但回檔僅27.3%，未達-2%）
  4977 |    2026-02 |   -17.4% |   +17.6% | -5分（連續衰退8個月）
  4908 |    2026-07 |   +51.6% |   +16.7% | 不加分（年增+52%但回檔僅16.7%，未達-2%）
  3406 |    2026-03 |   +14.3% |   +15.5% | 不加分（年增+14%但回檔僅15.5%，未達-5%）
  4967 |    2026-02 |   -22.2% |    +4.8% | 不調整
  2451 |    2026-06 |  +381.5% |    +7.1% | 不加分（年增+382%但回檔僅7.1%，未達-2%）
  3260 |    2026-06 |  +212.1% |    +5.3% | 不加分（年增+212%但回檔僅5.3%，未達-2%）
  2449 |    2026-05 |   +36.6% |    +3.8% | 不加分（年增+37%但回檔僅3.8%，未達-2%）
  2603 |    2026-07 |   +43.1% |    -4.0% | +5分（年增+43%+回檔-4.0%）
  5880 |    2026-05 |   +17.5% |    +0.6% | 不加分（年增+18%但回檔僅0.6%，未達-5%）
  2027 |    2026-02 |   +13.6% |    +0.0% | 不加分（年增+14%但回檔僅0.0%，未達-5%）
  4904 |    2026-02 |    +5.1% |    -0.5% | 不調整
  2880 |    2026-05 |   +58.3% |    +1.5% | 不加分（年增+58%但回檔僅1.5%，未達-2%）
  2812 |    2026-02 |   +11.8% |    +0.0% | 不加分（年增+12%但回檔僅0.0%，未達-5%）
  2845 |    2026-02 |   +11.8% |    -0.4% | 不加分（年增+12%但回檔僅-0.4%，未達-5%）
  2317 |    2026-02 |    +8.1% |    +0.6% | 不調整
  3017 |    2026-07 |   +57.4% |    +1.9% | 不加分（年增+57%但回檔僅1.9%，未達-2%）

結果已存: C:\Users\walter.huang\Documents\github\stock\data\2026-08-27\revenue_check.json
