2609 {'name': None, 'price': None, 'current_price': 59.3, 'change_percent': None, 'volume': 23012255}
2812 {'name': None, 'price': None, 'current_price': 19.5, 'change_percent': None, 'volume': 10969455}
2887 {'name': None, 'price': None, 'current_price': 43.3, 'change_percent': None, 'volume': 23216362}
2884 {'name': None, 'price': None, 'current_price': 46.05, 'change_percent': None, 'volume': 26486309}
2412 {'name': None, 'price': None, 'current_price': 141.5, 'change_percent': None, 'volume': 9967997}
2889 {'name': None, 'price': None, 'current_price': 16.95, 'change_percent': None, 'volume': 12161143}
2618 {'name': None, 'price': None, 'current_price': 41.95, 'change_percent': None, 'volume': 5954789}
2610 {'name': None, 'price': None, 'current_price': 20.2, 'change_percent': None, 'volume': 4805139}
2845 {'name': None, 'price': None, 'current_price': 13.7, 'change_percent': None, 'volume': 5811900}
2890 {'name': None, 'price': None, 'current_price': 44.6, 'change_percent': None, 'volume': 16661438}
5876 {'name': None, 'price': None, 'current_price': 49.9, 'change_percent': None, 'volume': 6105500}
2820 {'name': None, 'price': None, 'current_price': 17.4, 'change_percent': None, 'volume': 2350716}
2605 {'name': None, 'price': None, 'current_price': 36.05, 'change_percent': None, 'volume': 5369007}
2603 {'name': None, 'price': None, 'current_price': 236.0, 'change_percent': None, 'volume': 8401544}
2027 {'name': None, 'price': None, 'current_price': 45.95, 'change_percent': None, 'volume': 5313536}
2851 {'name': None, 'price': None, 'current_price': 47.0, 'change_percent': None, 'volume': 1969186}
2891 {'name': None, 'price': None, 'current_price': 67.7, 'change_percent': None, 'volume': 16169706}
2377 {'name': None, 'price': None, 'current_price': 150.0, 'change_percent': None, 'volume': 5181731}
2426 {'name': None, 'price': None, 'current_price': 95.6, 'change_percent': None, 'volume': 22027325}
3231 {'name': None, 'price': None, 'current_price': 181.5, 'change_percent': None, 'volume': 23900890}
2615 {'name': None, 'price': None, 'current_price': 113.0, 'change_percent': None, 'volume': 9764566}
2637 {'name': None, 'price': None, 'current_price': 100.5, 'change_percent': None, 'volume': 2774126}
4958 {'name': None, 'price': None, 'current_price': 491.0, 'change_percent': None, 'volume': 13774669}
1560 {'name': None, 'price': None, 'current_price': 749.0, 'change_percent': None, 'volume': 1483907}
3296 {'name': None, 'price': None, 'current_price': 25.7, 'change_percent': None, 'volume': 169666}
1215 {'name': None, 'price': None, 'current_price': 107.5, 'change_percent': None, 'volume': 857883}
