📊 結算判斷 — 2026-09-15
============================================================
找到 19 筆 holding 中（含同股票不同日期推薦）

🔔 應結算 (1 筆):
  ✅ 5880 合庫金 [A] 推薦日 2026-09-01 | +5.7% | D10 到期，收盤 27.0 > 推薦 25.55 @2026-09-15 | 來源 tracking_2026-09-01.json

📍 持有中 (18 筆):
  2867 三商壽 [A] 推薦日 2026-08-17 | 現價 9.7 (-0.5%) | ⚠️ 序列停滯（末日 2026-08-19，市場最新 2026-09-15）｜凍結判定：不結算、不出場、D 不推進（v8.3.8）
  3045 台灣大 [A] 推薦日 2026-09-04 | 現價 124.0 (+5.1%) | D7/10 | 距目標 2.4% | 距停損 14.4%
  2892 第一金 [A] 推薦日 2026-09-07 | 現價 39.55 (+6.0%) | D6/10 | 距目標 2.4% | 距停損 15.1%
  2880 華南金 [A] 推薦日 2026-09-08 | 現價 46.9 (+5.8%) | D5/10 | 距目標 3.4% | 距停損 14.9%
  2886 兆豐金 [A] 推薦日 2026-09-09 | 現價 51.8 (+2.4%) | D4/10 | 距目標 7.1% | 距停損 12.1%
  2883 凱基金 [A] 推薦日 2026-09-14 | 現價 38.15 (+0.9%) | D1/10 | 距目標 9.0% | 距停損 10.8%
  2801 彰銀 [A] 推薦日 2026-09-14 | 現價 28.0 (+0.4%) | D1/10 | 距目標 9.6% | 距停損 10.3%
  2354 鴻準 [A] 推薦日 2026-09-14 | 現價 64.6 (-1.7%) | D1/10 | 距目標 11.9% | 距停損 8.5%
  2382 廣達 [A] 推薦日 2026-09-14 | 現價 333.0 (-1.0%) | D1/10 | 距目標 8.1% | 距停損 9.1%
  2812 台中銀 [B] 推薦日 2026-09-14 | 現價 19.35 (-0.8%) | D1/10 | 距目標 8.8% | 距停損 4.3%
  2889 國票金 [B] 推薦日 2026-09-14 | 現價 16.85 (-0.6%) | D1/10 | 距目標 8.6% | 距停損 4.5%
  2891 中信金 [A] 推薦日 2026-09-15 | 現價 69.7 (+2.4%) | D0/10 | 距目標 6.2% | 距停損 12.1%
  2885 元大金 [A] 推薦日 2026-09-15 | 現價 68.3 (-3.5%) | D0/10 | 距目標 12.7% | 距停損 6.7%
  2887 台新新光金 [A] 推薦日 2026-09-15 | 現價 43.4 (-0.3%) | D0/10 | 距目標 9.0% | 距停損 9.7%
  2377 微星 [A] 推薦日 2026-09-15 | 現價 148.0 (-1.7%) | D0/10 | 距目標 10.5% | 距停損 8.5%
  3034 聯詠 [A] 推薦日 2026-09-15 | 現價 541.0 (-2.7%) | D0/10 | 距目標 11.6% | 距停損 7.5%
  4904 遠傳 [A] 推薦日 2026-09-15 | 現價 106.5 (+0.5%) | D0/10 | 距目標 7.5% | 距停損 10.4%
  2897 王道銀行 [B] 推薦日 2026-09-15 | 現價 11.2 (+0.0%) | D0/10 | 距目標 8.0% | 距停損 5.0%
