2354 now 64.5 vr 0.43 series_tail [('2026-09-11', 65.7), ('2026-09-14', 64.7), ('2026-09-15', 64.5)]
2891 now 69.3 vr 1.58 series_tail [('2026-09-11', 67.1), ('2026-09-14', 68.1), ('2026-09-15', 69.3)]
2885 now 68.4 vr 1.01 series_tail [('2026-09-11', 70.0), ('2026-09-14', 70.8), ('2026-09-15', 68.4)]
2887 now 43.45 vr 0.54 series_tail [('2026-09-11', 42.65), ('2026-09-14', 43.55), ('2026-09-15', 43.45)]
2377 now 149.0 vr 0.2 series_tail [('2026-09-11', 149.0), ('2026-09-14', 150.5), ('2026-09-15', 149.0)]
3034 now 542.0 vr 0.92 series_tail [('2026-09-11', 547.0), ('2026-09-14', 556.0), ('2026-09-15', 542.0)]
4904 now 106.0 vr 1.11 series_tail [('2026-09-11', 105.5), ('2026-09-14', 106.0), ('2026-09-15', 106.0)]
5880 now 26.95 vr 0.86 series_tail [('2026-09-11', 27.2), ('2026-09-14', 27.45), ('2026-09-15', 26.95)]
3045 now 122.5 vr 1.46 series_tail [('2026-09-11', 121.0), ('2026-09-14', 121.5), ('2026-09-15', 122.5)]
2892 now 39.7 vr 0.6 series_tail [('2026-09-11', 38.9), ('2026-09-14', 39.85), ('2026-09-15', 39.7)]
2880 now 46.9 vr 0.84 series_tail [('2026-09-11', 45.85), ('2026-09-14', 46.3), ('2026-09-15', 46.9)]
2886 now 51.4 vr 0.39 series_tail [('2026-09-11', 51.7), ('2026-09-14', 52.5), ('2026-09-15', 51.4)]
2883 now 38.1 vr 0.87 series_tail [('2026-09-11', 37.85), ('2026-09-14', 38.8), ('2026-09-15', 38.1)]
2801 now 27.85 vr 0.78 series_tail [('2026-09-11', 27.9), ('2026-09-14', 28.55), ('2026-09-15', 27.85)]
2382 now 332.0 vr 0.28 series_tail [('2026-09-11', 336.5), ('2026-09-14', 332.5), ('2026-09-15', 332.0)]
2812 now 19.3 vr 0.49 series_tail [('2026-09-11', 19.5), ('2026-09-14', 19.45), ('2026-09-15', 19.3)]
2889 now 16.75 vr 0.64 series_tail [('2026-09-11', 16.75), ('2026-09-14', 17.05), ('2026-09-15', 16.75)]
2867 now 9.7 vr 0 series_tail [('2026-08-17', 9.71), ('2026-08-18', 9.82), ('2026-08-19', 9.7)]
6770 now 67.7 vr 0.83 series_tail [('2026-09-11', 70.7), ('2026-09-14', 70.7), ('2026-09-15', 67.7)]
2337 now 115.5 vr 0.36 series_tail [('2026-09-11', 119.0), ('2026-09-14', 116.0), ('2026-09-15', 115.5)]
2313 now 219.5 vr 0.42 series_tail [('2026-09-11', 221.5), ('2026-09-14', 221.0), ('2026-09-15', 219.5)]
3090 now 160.5 vr 0.42 series_tail [('2026-09-11', 163.0), ('2026-09-14', 163.5), ('2026-09-15', 160.5)]
1301 now 62.0 vr 0.61 series_tail [('2026-09-11', 64.6), ('2026-09-14', 62.9), ('2026-09-15', 62.0)]
4938 now 89.0 vr 0.66 series_tail [('2026-09-11', 91.0), ('2026-09-14', 90.2), ('2026-09-15', 89.0)]
2330 now 2385.0 vr 0.44 series_tail [('2026-09-11', 2410.0), ('2026-09-14', 2380.0), ('2026-09-15', 2390.0)]
