抓取/刷新 9 檔持股數據（快取早於 2026-09-15 者）...

    股票 |         數據日期 |      外資持股比 |      週變化 |         評分建議
-----------------------------------------------------------------
  2883 |   2026-09-21 |     29.85% |   +0.14% | 不調整（小增）
  3481 |   2026-09-21 |     21.02% |   +0.50% | 不調整（小增）
  2454 |   2026-09-21 |     56.43% |   +0.21% | 不調整（小增）
  2382 |   2026-09-18 |     23.88% |   -0.13% | -3分（週減≥0.1%）
  2891 |   2026-09-18 |     35.09% |   +0.03% | 不調整（小增）
  2377 |   2026-09-18 |     19.27% |   +0.04% | 不調整（小增）
  4904 |   2026-09-18 |     20.23% |   +0.02% | 不調整（小增）
  5876 |   2026-09-18 |     55.67% |   +0.03% | 不調整（小增）
  2395 |   2026-09-18 |     35.87% |   +0.00% | 不調整（微減<0.1%）
  2412 |   2026-09-18 |     18.11% |   +0.09% | 不調整（小增）
  5880 |   2026-09-18 |     17.38% |   +0.01% | 不調整（小增）
  2303 |   2026-09-18 |     41.35% |   +0.27% | 不調整（小增）
  2892 |   2026-09-18 |     26.54% |   +0.05% | 不調整（小增）
  3711 |   2026-09-18 |     77.53% |   +0.16% | 不調整（小增）
  3042 |   2026-09-18 |     24.18% |   +1.14% | +5分（大增>0.5%）
  8150 |   2026-09-18 |     39.19% |   +1.76% | +5分（大增>0.5%）
  3037 |   2026-09-18 |     41.05% |   +0.17% | 不調整（小增）
  2399 |   2026-09-21 |      9.78% |   +1.96% | +5分（大增>0.5%）
  6133 |   2026-09-18 |      4.56% |   -0.12% | -3分（週減≥0.1%）
  2409 |   2026-09-21 |     16.74% |   +3.01% | +5分（大增>0.5%）
  2890 |   2026-09-21 |     29.55% |   +0.03% | 不調整（小增）
  2884 |   2026-09-21 |     30.43% |   +0.03% | 不調整（小增）
  2885 |   2026-09-18 |     26.98% |   +0.09% | 不調整（小增）
  2618 |   2026-09-21 |     32.60% |   +0.03% | 不調整（小增）
  6505 |   2026-09-21 |      6.77% |   +0.04% | 不調整（小增）
  2882 |   2026-09-21 |     23.17% |   +0.04% | 不調整（小增）
  2330 |   2026-09-18 |     69.22% |   +0.01% | 不調整（小增）
  2449 |   2026-09-21 |     29.79% |   +0.06% | 不調整（小增）
  2308 |   2026-09-21 |     61.69% |   +0.10% | 不調整（小增）
  6116 |   2026-09-21 |      4.92% |   +0.53% | +5分（大增>0.5%）
  2371 |   2026-09-21 |      7.37% |   +0.59% | +5分（大增>0.5%）
  2855 |   2026-09-21 |      7.45% |   +0.46% | 不調整（小增）
  3045 |   2026-09-21 |     18.90% |   +0.08% | 不調整（小增）
  2605 |   2026-09-21 |     49.97% |   +0.41% | 不調整（小增）
  2352 |   2026-09-21 |      7.20% |   +0.18% | 不調整（小增）
  1303 |   2026-09-21 |     30.25% |   +0.07% | 不調整（小增）
  2327 |   2026-09-21 |     44.75% |   +0.11% | 不調整（小增）
  1605 |   2026-09-21 |     18.25% |   +0.08% | 不調整（小增）
  3016 |   2026-09-21 |      4.58% |   +0.85% | +5分（大增>0.5%）
  6706 |   2026-09-21 |      7.67% |   +3.36% | +5分（大增>0.5%）

結果已存: C:\Users\walter.huang\Documents\github\stock\data\2026-09-22\foreign_ratio_check.json

[OK] 全部 40 檔持股比皆不早於 2026-09-15
