
    股票 |      最新營收月 |     YoY% |     5日回檔 | 評分建議
----------------------------------------------------------------------
查詢近5日回檔...
  2883 |      2026-08 |   +58.7% |    +3.0% | 不加分（年增+59%但回檔僅3.0%，未達-2%）
  3481 |      2026-08 |    +0.0% |    +7.9% | 不調整
  2454 |      2026-08 |   +44.1% |   +16.9% | 不加分（年增+44%但回檔僅16.9%，未達-2%）
  2382 |      2026-08 |  +177.5% |    +2.7% | 不加分（年增+178%但回檔僅2.7%，未達-2%）
  2891 |      2026-08 |    -2.5% |    -0.1% | 不調整
  2377 |      2026-08 |    -6.1% |    +3.7% | 不調整
  4904 |      2026-08 |   +15.7% |    -0.9% | 不加分（年增+16%但回檔僅-0.9%，未達-5%）
  5876 |      2026-08 |    +7.1% |    -0.2% | 不調整
  2395 |      2026-08 |   +87.5% |    +2.6% | 不加分（年增+88%但回檔僅2.6%，未達-2%）
  2412 |      2026-08 |   +25.6% |    +1.0% | 不加分（年增+26%但回檔僅1.0%，未達-5%）
  5880 |      2026-08 |    -0.7% |    +0.2% | 不調整
  2303 |      2026-08 |   +30.7% |   +15.5% | 不加分（年增+31%但回檔僅15.5%，未達-2%）
  2892 |      2026-08 |    +6.3% |    +0.9% | 不調整
  3711 |      2026-08 |   +45.7% |   +17.1% | 不加分（年增+46%但回檔僅17.1%，未達-2%）
  3042 |      2026-08 |   +23.5% |    +1.4% | 不加分（年增+24%但回檔僅1.4%，未達-5%）
  8150 |      2026-08 |   +33.3% |   +25.0% | 不加分（年增+33%但回檔僅25.0%，未達-2%）
  3037 |      2026-08 |   +56.3% |   +17.8% | 不加分（年增+56%但回檔僅17.8%，未達-2%）
  2399 |      2026-08 |   +40.0% |    +3.3% | 不加分（年增+40%但回檔僅3.3%，未達-2%）
  6133 |      2026-08 |    +2.2% |   +18.5% | 不調整
  2409 |      2026-08 |    -5.9% |   +31.4% | 不調整
  2890 |      2026-08 |   +49.5% |    +1.9% | 不加分（年增+50%但回檔僅1.9%，未達-2%）
  2884 |      2026-08 |   +19.3% |    +0.9% | 不加分（年增+19%但回檔僅0.9%，未達-5%）
  2885 |      2026-08 |   +65.4% |    +3.4% | 不加分（年增+65%但回檔僅3.4%，未達-2%）
  2618 |      2026-08 |   +24.9% |    +3.2% | 不加分（年增+25%但回檔僅3.2%，未達-5%）
  6505 |      2026-08 |   +50.3% |    +5.2% | 不加分（年增+50%但回檔僅5.2%，未達-2%）
  2882 |      2026-08 |   -36.5% |    +1.8% | 不調整
  2330 |      2026-08 |   +53.3% |    +3.1% | 不加分（年增+53%但回檔僅3.1%，未達-2%）
  2449 |      2026-08 |   +31.6% |   +23.3% | 不加分（年增+32%但回檔僅23.3%，未達-2%）
  2308 |      2026-08 |   +34.9% |   +13.8% | 不加分（年增+35%但回檔僅13.8%，未達-2%）
  6116 |      2026-08 |    +8.0% |   +13.2% | 不調整
  2371 |      2026-08 |   -11.5% |    +4.8% | 不調整
  2855 |      2026-08 |  +109.9% |   +10.5% | 不加分（年增+110%但回檔僅10.5%，未達-2%）
  3045 |      2026-08 |    +8.5% |    -0.8% | 不調整
  2605 |      2026-08 |   +58.8% |    +5.8% | 不加分（年增+59%但回檔僅5.8%，未達-2%）
  2352 |      2026-08 |   +11.8% |    +3.9% | 不加分（年增+12%但回檔僅3.9%，未達-5%）
  1303 |      2026-08 |   +46.7% |    +4.5% | 不加分（年增+47%但回檔僅4.5%，未達-2%）
  2327 |      2026-08 |   +51.8% |    +6.3% | 不加分（年增+52%但回檔僅6.3%，未達-2%）
  1605 |      2026-08 |   +15.0% |    +1.8% | 不加分（年增+15%但回檔僅1.8%，未達-5%）
  3016 |      2026-08 |   +57.8% |   +20.5% | 不加分（年增+58%但回檔僅20.5%，未達-2%）
  6706 |      2026-08 |  +120.5% |    +3.8% | 不加分（年增+120%但回檔僅3.8%，未達-2%）

結果已存: C:\Users\walter.huang\Documents\github\stock\data\2026-09-22\revenue_check.json

[OK] 全部 40 檔營收皆為 2026-08
