抓取/刷新 21 檔持股數據（快取早於 2026-09-16 者）...

    股票 |         數據日期 |      外資持股比 |      週變化 |         評分建議
-----------------------------------------------------------------
  2409 |   2026-09-21 |     16.74% |   +3.01% | +5分（大增>0.5%）
  2303 |   2026-09-18 |     41.35% |   +0.27% | 不調整（小增）
  3481 |   2026-09-21 |     21.02% |   +0.50% | 不調整（小增）
  2449 |   2026-09-21 |     29.79% |   +0.06% | 不調整（小增）
  1101 |   2026-09-22 |     12.55% |   +0.25% | 不調整（小增）
  8150 |   2026-09-18 |     39.19% |   +1.76% | +5分（大增>0.5%）
  6168 |   2026-09-22 |     14.55% |   +5.60% | +5分（大增>0.5%）
  4958 |   2026-09-22 |     53.41% |   +1.01% | +5分（大增>0.5%）
  3711 |   2026-09-18 |     77.53% |   +0.16% | 不調整（小增）
  2618 |   2026-09-21 |     32.60% |   +0.03% | 不調整（小增）
  2610 |   2026-09-22 |     15.20% |   +0.08% | 不調整（小增）
  3189 |   2026-09-22 |     20.49% |   +1.75% | +5分（大增>0.5%）
  6116 |   2026-09-21 |      4.92% |   +0.53% | +5分（大增>0.5%）
  6770 |   2026-09-18 |     16.80% |   +1.61% | +5分（大增>0.5%）
  2892 |   2026-09-18 |     26.54% |   +0.05% | 不調整（小增）
  2327 |   2026-09-21 |     44.75% |   +0.11% | 不調整（小增）
  2886 |   2026-09-18 |     20.64% |   +0.03% | 不調整（小增）
  2317 |   2026-09-22 |     40.41% |   +0.04% | 不調整（小增）
  3016 |   2026-09-21 |      4.58% |   +0.85% | +5分（大增>0.5%）
  8046 |   2026-09-22 |     12.16% |   +0.86% | +5分（大增>0.5%）
  3037 |   2026-09-18 |     41.05% |   +0.17% | 不調整（小增）
  2481 |   2026-09-22 |     11.24% |   +1.36% | +5分（大增>0.5%）
  6257 |   2026-09-21 |     31.39% |   +0.62% | +5分（大增>0.5%）
  2354 |   2026-09-18 |     14.18% |   -0.26% | -3分（週減≥0.1%）
  1312 |   2026-09-22 |      4.05% |   +0.17% | 不調整（小增）
  3045 |   2026-09-21 |     18.90% |   +0.08% | 不調整（小增）
  2885 |   2026-09-18 |     26.98% |   +0.09% | 不調整（小增）
  1718 |   2026-09-22 |      6.51% |   +0.19% | 不調整（小增）
  6278 |   2026-09-22 |     17.78% |   +1.01% | +5分（大增>0.5%）
  1102 |   2026-09-22 |     13.95% |   +0.10% | 不調整（小增）
  2412 |   2026-09-18 |     18.11% |   +0.09% | 不調整（小增）
  6213 |   2026-09-22 |     20.94% |   +0.57% | +5分（大增>0.5%）
  5876 |   2026-09-18 |     55.67% |   +0.03% | 不調整（小增）
  2891 |   2026-09-18 |     35.09% |   +0.03% | 不調整（小增）
  2609 |   2026-09-18 |     25.72% |   -0.08% | 不調整（微減<0.1%）
  2834 |   2026-09-22 |     16.74% |   -0.07% | 不調整（微減<0.1%）
  2382 |   2026-09-18 |     23.88% |   -0.13% | -3分（週減≥0.1%）
  5880 |   2026-09-18 |     17.38% |   +0.01% | 不調整（小增）
  3023 |   2026-09-22 |     42.34% |   +0.04% | 不調整（小增）
  2408 |   2026-09-18 |     16.79% |   +1.04% | +5分（大增>0.5%）
  2344 |   2026-09-18 |     18.95% |   +0.95% | +5分（大增>0.5%）
  2337 |   2026-09-18 |     24.91% |   +0.53% | +5分（大增>0.5%）
  8299 |   2026-09-21 |     43.80% |   +0.37% | 不調整（小增）
  2603 |   2026-09-22 |     25.97% |   -0.02% | 不調整（微減<0.1%）
  2615 |   2026-09-22 |     48.47% |   +0.04% | 不調整（小增）
  2492 |   2026-09-22 |     12.59% |   +0.49% | 不調整（小增）
  3044 |   2026-09-22 |     48.57% |   +0.26% | 不調整（小增）
  2330 |   2026-09-18 |     69.22% |   +0.01% | 不調整（小增）
  2454 |   2026-09-21 |     56.43% |   +0.21% | 不調整（小增）
  5274 |   2026-09-21 |     53.14% |   +0.04% | 不調整（小增）
  2377 |   2026-09-18 |     19.27% |   +0.04% | 不調整（小增）
  2395 |   2026-09-18 |     35.87% |   +0.00% | 不調整（微減<0.1%）
  4904 |   2026-09-18 |     20.23% |   +0.02% | 不調整（小增）
  3042 |   2026-09-18 |     24.18% |   +1.14% | +5分（大增>0.5%）
  2883 |   2026-09-21 |     29.85% |   +0.14% | 不調整（小增）

結果已存: C:\Users\walter.huang\Documents\github\stock\data\2026-09-23\foreign_ratio_check.json

[OK] 全部 55 檔持股比皆不早於 2026-09-16
