📊 結算判斷 — 2026-09-23
============================================================
找到 20 筆 holding 中（含同股票不同日期推薦）

📍 持有中 (20 筆):
  2867 三商壽 [A] 推薦日 2026-08-17 | 現價 9.7 (-0.5%) | ⚠️ 序列停滯（末日 2026-08-19，市場最新 2026-09-23）｜凍結判定：不結算、不出場、D 不推進（v8.3.8）
  2382 廣達 [A] 推薦日 2026-09-14 | 現價 341.5 (+1.5%) | D7/10 | 距目標 5.4% | 距停損 11.3%
  2891 中信金 [A] 推薦日 2026-09-15 | 現價 68.9 (+1.2%) | D6/10 | 距目標 7.4% | 距停損 11.0%
  2377 微星 [A] 推薦日 2026-09-15 | 現價 151.0 (+0.3%) | D6/10 | 距目標 8.3% | 距停損 10.3%
  4904 遠傳 [A] 推薦日 2026-09-15 | 現價 105.5 (-0.5%) | D6/10 | 距目標 8.5% | 距停損 9.6%
  5876 上海商銀 [A] 推薦日 2026-09-16 | 現價 49.25 (-1.1%) | D5/10 | 距目標 9.6% | 距停損 9.0%
  2395 研華 [A] 推薦日 2026-09-16 | 現價 701.0 (+2.3%) | D5/10 | 距目標 5.6% | 距停損 12.1%
  2412 中華電 [A] 推薦日 2026-09-16 | 現價 145.5 (+1.4%) | D5/10 | 距目標 5.2% | 距停損 11.2%
  5880 合庫金 [A] 推薦日 2026-09-17 | 現價 26.75 (-2.2%) | D4/10 | 距目標 10.3% | 距停損 8.0%
  2303 聯電 [A] 推薦日 2026-09-18 | 現價 160.0 (+8.5%) | D3/10 | 距目標 0.6% | 距停損 17.0%
  2892 第一金 [A] 推薦日 2026-09-18 | 現價 39.85 (-2.2%) | D3/10 | 距目標 10.4% | 距停損 8.0%
  3711 日月光投控 [A] 推薦日 2026-09-21 | 現價 693.0 (+8.6%) | D2/10 | 距目標 0.3% | 距停損 17.1%
  3042 晶技 [A] 推薦日 2026-09-21 | 現價 198.0 (+7.3%) | D2/10 | 距目標 1.5% | 距停損 16.1%
  2883 凱基金 [A] 推薦日 2026-09-22 | 現價 39.35 (-2.7%) | D1/10 | 距目標 11.8% | 距停損 7.5%
  3481 群創 [A] 推薦日 2026-09-22 | 現價 49.6 (-1.6%) | D1/10 | 距目標 10.9% | 距停損 3.5%
  2454 聯發科 [A] 推薦日 2026-09-22 | 現價 5185.0 (+3.5%) | D1/10 | 距目標 4.1% | 距停損 8.2%
  2886 兆豐金 [A] 推薦日 2026-09-23 | 現價 50.0 (-1.0%) | D0/10 | 距目標 9.0% | 距停損 9.1%
  8046 南電 [A] 推薦日 2026-09-23 | 現價 1210.0 (+3.9%) | D0/10 | 距目標 4.1% | 距停損 13.3%
  2609 陽明 [A] 推薦日 2026-09-23 | 現價 59.9 (-1.5%) | D0/10 | 距目標 9.7% | 距停損 8.6%
  3023 信邦 [A] 推薦日 2026-09-23 | 現價 312.0 (-2.6%) | D0/10 | 距目標 10.9% | 距停損 7.5%
