
    股票 |         數據日期 |      外資持股比 |      週變化 |         評分建議
-----------------------------------------------------------------
  2330 |   2026-09-18 |     69.22% |   +0.01% | 不調整（小增）
  3037 |   2026-09-18 |     41.05% |   +0.17% | 不調整（小增）
  1101 |   2026-09-22 |     12.55% |   +0.25% | 不調整（小增）
  2618 |   2026-09-21 |     32.60% |   +0.03% | 不調整（小增）
  2344 |   2026-09-18 |     18.95% |   +0.95% | +5分（大增>0.5%）
  8150 |   2026-09-18 |     39.19% |   +1.76% | +5分（大增>0.5%）
  2610 |   2026-09-22 |     15.20% |   +0.08% | 不調整（小增）
  3016 |   2026-09-21 |      4.58% |   +0.85% | +5分（大增>0.5%）
  3189 |   2026-09-22 |     20.49% |   +1.75% | +5分（大增>0.5%）
  3605 |   2026-09-23 |     22.31% |   +1.36% | +5分（大增>0.5%）
  2404 |   2026-09-23 |     37.99% |   +0.78% | +5分（大增>0.5%）
  2337 |   2026-09-18 |     24.91% |   +0.53% | +5分（大增>0.5%）
  3711 |   2026-09-18 |     77.53% |   +0.16% | 不調整（小增）
  1314 |   2026-09-21 |     11.33% |   +0.38% | 不調整（小增）
  1102 |   2026-09-22 |     13.95% |   +0.10% | 不調整（小增）
  6505 |   2026-09-21 |      6.77% |   +0.04% | 不調整（小增）
  2347 |   2026-09-23 |     30.06% |   +0.19% | 不調整（小增）
  3055 |   2026-09-23 |      4.12% |   +2.37% | +5分（大增>0.5%）
  9904 |   2026-09-23 |     27.15% |   +0.16% | 不調整（小增）
  2104 |   2026-09-23 |      6.99% |   +0.67% | +5分（大增>0.5%）
  1216 |   2026-09-23 |     34.24% |   +0.05% | 不調整（小增）
  6456 |   2026-09-23 |     47.54% |   +0.56% | +5分（大增>0.5%）
  3532 |   2026-09-23 |     44.28% |   +0.38% | 不調整（小增）
  6531 |   2026-09-23 |     34.12% |   +0.77% | +5分（大增>0.5%）
  9945 |   2026-09-23 |      8.63% |   +0.11% | 不調整（小增）
  4938 |   2026-09-18 |     31.19% |   -0.03% | 不調整（微減<0.1%）
  2379 |   2026-09-22 |     45.93% |   +0.39% | 不調整（小增）
  2027 |   2026-09-23 |     25.30% |   +0.05% | 不調整（小增）
  2313 |   2026-09-18 |     19.18% |   +0.33% | 不調整（小增）
  2351 |   2026-09-23 |     26.75% |   +1.06% | +5分（大增>0.5%）
  3042 |   2026-09-18 |     24.18% |   +1.14% | +5分（大增>0.5%）
  3045 |   2026-09-21 |     18.90% |   +0.08% | 不調整（小增）
  2515 |   2026-09-23 |      7.71% |   +0.14% | 不調整（小增）
  1312 |   2026-09-22 |      4.05% |   +0.17% | 不調整（小增）
  3576 |   2026-09-23 |     15.35% |   +0.12% | 不調整（小增）
  2646 |   2026-09-23 |      3.12% |   +0.05% | 不調整（小增）
  2354 |   2026-09-18 |     14.18% |   -0.26% | -3分（週減≥0.1%）
  2208 |   2026-09-23 |      6.83% |   +0.14% | 不調整（小增）
  2103 |   2026-09-23 |     26.45% |   +0.20% | 不調整（小增）
  1402 |   2026-09-23 |     17.41% |   +0.02% | 不調整（小增）
  2855 |   2026-09-21 |      7.45% |   +0.46% | 不調整（小增）
  2889 |   2026-09-23 |     11.64% |   +0.02% | 不調整（小增）
  2603 |   2026-09-22 |     25.97% |   -0.02% | 不調整（微減<0.1%）
  2883 |   2026-09-21 |     29.85% |   +0.14% | 不調整（小增）
  2884 |   2026-09-21 |     30.43% |   +0.03% | 不調整（小增）
  6213 |   2026-09-22 |     20.94% |   +0.57% | +5分（大增>0.5%）

結果已存: C:\Users\walter.huang\Documents\github\stock\data\2026-09-24\foreign_ratio_check.json

[OK] 全部 46 檔持股比皆不早於 2026-09-17
