
    股票 |      最新營收月 |     YoY% |     5日回檔 | 評分建議
----------------------------------------------------------------------
查詢近5日回檔...
  2330 |      2026-08 |   +53.3% |    +2.1% | 不加分（年增+53%但回檔僅2.1%，未達-2%）
  3037 |      2026-08 |   +56.3% |   +26.1% | 不加分（年增+56%但回檔僅26.1%，未達-2%）
  1101 |      2026-08 |   +10.6% |    +3.3% | 不加分（年增+11%但回檔僅3.3%，未達-5%）
  2618 |      2026-08 |   +24.9% |    -0.1% | 不加分（年增+25%但回檔僅-0.1%，未達-5%）
  2344 |      2026-08 |  +289.4% |    +0.9% | 不加分（年增+289%但回檔僅0.9%，未達-2%）
  8150 |      2026-08 |   +33.3% |   +29.2% | 不加分（年增+33%但回檔僅29.2%，未達-2%）
  2610 |      2026-08 |   +27.2% |    -0.2% | 不加分（年增+27%但回檔僅-0.2%，未達-5%）
  3016 |      2026-08 |   +57.8% |   +38.5% | 不加分（年增+58%但回檔僅38.5%，未達-2%）
  3189 |      2026-08 |   +40.6% |   +19.5% | 不加分（年增+41%但回檔僅19.5%，未達-2%）
  3605 |      2026-08 |   +17.2% |   +31.1% | 不加分（年增+17%但回檔僅31.1%，未達-5%）
  2404 |      2026-08 |   +59.1% |   +24.8% | 不加分（年增+59%但回檔僅24.8%，未達-2%）
  2337 |      2026-08 |  +218.5% |    +0.4% | 不加分（年增+218%但回檔僅0.4%，未達-2%）
  3711 |      2026-08 |   +45.7% |   +13.8% | 不加分（年增+46%但回檔僅13.8%，未達-2%）
  1314 |      2026-08 |   -24.4% |    -1.1% | -5分（連續衰退16個月）
  1102 |      2026-08 |    -1.3% |    +1.1% | -5分（連續衰退7個月）
  6505 |      2026-08 |   +50.3% |    +1.2% | 不加分（年增+50%但回檔僅1.2%，未達-2%）
  2347 |      2026-08 |  +121.9% |    +5.6% | 不加分（年增+122%但回檔僅5.6%，未達-2%）
  3055 |      2026-08 |  +108.2% |   +23.6% | 不加分（年增+108%但回檔僅23.6%，未達-2%）
  9904 |      2026-08 |    +4.3% |    +0.6% | 不調整
  2104 |      2026-08 |    +0.3% |    +3.7% | 不調整
  1216 |      2026-08 |    +3.8% |    -1.3% | 不調整
  6456 |      2026-08 |   -30.0% |   +24.9% | -5分（連續衰退6個月）
  3532 |      2026-08 |   +29.3% |    +2.5% | 不加分（年增+29%但回檔僅2.5%，未達-5%）
  6531 |      2026-08 |  +150.8% |    +7.9% | 不加分（年增+151%但回檔僅7.9%，未達-2%）
  9945 |      2026-08 |   +38.0% |    +3.3% | 不加分（年增+38%但回檔僅3.3%，未達-2%）
  4938 |      2026-08 |   +34.1% |    +1.0% | 不加分（年增+34%但回檔僅1.0%，未達-2%）
  2379 |      2026-08 |   +28.1% |    +4.8% | 不加分（年增+28%但回檔僅4.8%，未達-5%）
  2027 |      2026-08 |   +46.1% |    +1.1% | 不加分（年增+46%但回檔僅1.1%，未達-2%）
  2313 |      2026-08 |    +6.9% |    +1.8% | 不調整
  2351 |      2026-08 |   +61.2% |    -7.8% | +5分（年增+61%+回檔-7.8%）
  3042 |      2026-08 |   +23.5% |   +13.7% | 不加分（年增+24%但回檔僅13.7%，未達-5%）
  3045 |      2026-08 |    +8.5% |    -1.2% | 不調整
  2515 |      2026-08 |   +28.8% |    -0.8% | 不加分（年增+29%但回檔僅-0.8%，未達-5%）
  1312 |      2026-08 |   +89.2% |    -2.3% | +5分（年增+89%+回檔-2.3%）
  3576 |      2026-08 |   -13.0% |   +12.0% | 不調整
  2646 |      2026-08 |   +47.8% |    -0.2% | 不加分（年增+48%但回檔僅-0.2%，未達-2%）
  2354 |      2026-08 |   +58.4% |    -0.6% | 不加分（年增+58%但回檔僅-0.6%，未達-2%）
  2208 |      2026-08 |   +55.6% |    +2.1% | 不加分（年增+56%但回檔僅2.1%，未達-2%）
  2103 |      2026-08 |   +21.8% |    -1.4% | 不加分（年增+22%但回檔僅-1.4%，未達-5%）
  1402 |      2026-08 |   +15.2% |    +0.2% | 不加分（年增+15%但回檔僅0.2%，未達-5%）
  2855 |      2026-08 |  +109.9% |   +10.1% | 不加分（年增+110%但回檔僅10.1%，未達-2%）
  2889 |      2026-08 |   +51.9% |    -4.3% | +5分（年增+52%+回檔-4.3%）
  2603 |      2026-08 |   +48.6% |    +0.2% | 不加分（年增+49%但回檔僅0.2%，未達-2%）
  2883 |      2026-08 |   +58.7% |    -1.8% | 不加分（年增+59%但回檔僅-1.8%，未達-2%）
  2884 |      2026-08 |   +19.3% |    -3.6% | 不加分（年增+19%但回檔僅-3.6%，未達-5%）
  6213 |      2026-08 |   +97.9% |   +20.2% | 不加分（年增+98%但回檔僅20.2%，未達-2%）

結果已存: C:\Users\walter.huang\Documents\github\stock\data\2026-09-24\revenue_check.json

[OK] 全部 46 檔營收皆為 2026-08
