抓取/刷新 1 檔營收（應有月份 2026-08）...

    股票 |      最新營收月 |     YoY% |     5日回檔 | 評分建議
----------------------------------------------------------------------
查詢近5日回檔...
  1101 |      2026-08 |   +10.6% |    +6.7% | 不加分（年增+11%但回檔僅6.7%，未達-5%）
  2408 |      2026-08 |  +560.9% |    +4.6% | 不加分（年增+561%但回檔僅4.6%，未達-2%）
  6770 |      2026-08 |   +76.2% |    +4.6% | 不加分（年增+76%但回檔僅4.6%，未達-2%）
  2610 |      2026-08 |   +27.2% |    +2.5% | 不加分（年增+27%但回檔僅2.5%，未達-5%）
  2618 |      2026-08 |   +24.9% |    +3.8% | 不加分（年增+25%但回檔僅3.8%，未達-5%）
  1314 |      2026-08 |   -24.4% |   +10.6% | -5分（連續衰退16個月）
  8150 |      2026-08 |   +33.3% |   +22.8% | 不加分（年增+33%但回檔僅22.8%，未達-2%）
  2317 |      2026-08 |   +52.0% |    +3.2% | 不加分（年增+52%但回檔僅3.2%，未達-2%）
  2344 |      2026-08 |  +289.4% |    +2.1% | 不加分（年增+289%但回檔僅2.1%，未達-2%）
  2104 |      2026-08 |    +0.3% |   +11.5% | 不調整
  2330 |      2026-08 |   +53.3% |    +5.0% | 不加分（年增+53%但回檔僅5.0%，未達-2%）
  3016 |      2026-08 |   +57.8% |   +26.0% | 不加分（年增+58%但回檔僅26.0%，未達-2%）
  3037 |      2026-08 |   +56.3% |   +20.7% | 不加分（年增+56%但回檔僅20.7%，未達-2%）
  1102 |      2026-08 |    -1.3% |    +2.9% | -5分（連續衰退7個月）
  9904 |      2026-08 |    +4.3% |    +1.6% | 不調整
  2412 |      2026-08 |   +25.6% |    +1.4% | 不加分（年增+26%但回檔僅1.4%，未達-5%）
  8046 |      2026-08 |   +40.6% |    +9.5% | 不加分（年增+41%但回檔僅9.5%，未達-2%）
  3605 |      2026-08 |   +17.2% |   +28.6% | 不加分（年增+17%但回檔僅28.6%，未達-5%）
  6505 |      2026-08 |   +50.3% |    +8.4% | 不加分（年增+50%但回檔僅8.4%，未達-2%）
  2337 |      2026-08 |  +218.5% |    +0.0% | 不加分（年增+218%但回檔僅0.0%，未達-2%）
  2347 |      2026-08 |  +121.9% |    +6.5% | 不加分（年增+122%但回檔僅6.5%，未達-2%）
  2609 |      2026-08 |   +56.2% |    -0.5% | 不加分（年增+56%但回檔僅-0.5%，未達-2%）
  1216 |      2026-08 |    +3.8% |    +1.2% | 不調整
  9945 |      2026-08 |   +38.0% |    +5.3% | 不加分（年增+38%但回檔僅5.3%，未達-2%）
  3189 |      2026-08 |   +40.6% |   +10.5% | 不加分（年增+41%但回檔僅10.5%，未達-2%）
  6456 |      2026-08 |   -30.0% |   +21.3% | -5分（連續衰退6個月）
  2027 |      2026-08 |   +46.1% |    +0.1% | 不加分（年增+46%但回檔僅0.1%，未達-2%）
  3055 |      2026-08 |  +108.2% |   +24.1% | 不加分（年增+108%但回檔僅24.1%，未達-2%）
  2515 |      2026-08 |   +28.8% |    +1.3% | 不加分（年增+29%但回檔僅1.3%，未達-5%）
  1312 |      2026-08 |   +89.2% |    -1.4% | 不加分（年增+89%但回檔僅-1.4%，未達-2%）
  4938 |      2026-08 |   +34.1% |    +2.6% | 不加分（年增+34%但回檔僅2.6%，未達-2%）
  2404 |      2026-08 |   +59.1% |   +20.8% | 不加分（年增+59%但回檔僅20.8%，未達-2%）
  2886 |      2026-08 |   +13.1% |    -1.8% | 不加分（年增+13%但回檔僅-1.8%，未達-5%）
  3711 |      2026-08 |   +45.7% |   +14.5% | 不加分（年增+46%但回檔僅14.5%，未達-2%）
  3576 |      2026-08 |   -13.0% |    +8.9% | 不調整
  2892 |      2026-08 |    +6.3% |    -0.4% | 不調整
  2646 |      2026-08 |   +47.8% |    +1.0% | 不加分（年增+48%但回檔僅1.0%，未達-2%）
  2208 |      2026-08 |   +55.6% |    +4.0% | 不加分（年增+56%但回檔僅4.0%，未達-2%）
  2313 |      2026-08 |    +6.9% |    -0.4% | 不調整
  2351 |      2026-08 |   +61.2% |    -4.2% | +5分（年增+61%+回檔-4.2%）
  2103 |      2026-08 |   +21.8% |    +3.9% | 不加分（年增+22%但回檔僅3.9%，未達-5%）
  3532 |      2026-08 |   +29.3% |    +1.1% | 不加分（年增+29%但回檔僅1.1%，未達-5%）
  1402 |      2026-08 |   +15.2% |    +1.8% | 不加分（年增+15%但回檔僅1.8%，未達-5%）
  3045 |      2026-08 |    +8.5% |    -1.2% | 不調整
  2354 |      2026-08 |   +58.4% |    +1.1% | 不加分（年增+58%但回檔僅1.1%，未達-2%）
  3042 |      2026-08 |   +23.5% |    +6.7% | 不加分（年增+24%但回檔僅6.7%，未達-5%）
  2855 |      2026-08 |  +109.9% |   +11.8% | 不加分（年增+110%但回檔僅11.8%，未達-2%）
  2889 |      2026-08 |   +51.9% |    -2.9% | +5分（年增+52%+回檔-2.9%）
  2379 |      2026-08 |   +28.1% |    +5.7% | 不加分（年增+28%但回檔僅5.7%，未達-5%）
  6531 |      2026-08 |  +150.8% |    +4.0% | 不加分（年增+151%但回檔僅4.0%，未達-2%）
  2867 |   2026-07 ⚠️ |  -117.7% |      N/A | ⚠️ 營收落後至 2026-07（應為 2026-08），本因子不採計
  2382 |      2026-08 |  +177.5% |    +0.3% | 不加分（年增+178%但回檔僅0.3%，未達-2%）
  2891 |      2026-08 |    -2.5% |    -2.7% | 不調整
  2377 |      2026-08 |    -6.1% |    -1.6% | 不調整
  4904 |      2026-08 |   +15.7% |    +0.5% | 不加分（年增+16%但回檔僅0.5%，未達-5%）
  5876 |      2026-08 |    +7.1% |    -1.0% | 不調整
  2395 |      2026-08 |   +87.5% |    +0.9% | 不加分（年增+88%但回檔僅0.9%，未達-2%）
  5880 |      2026-08 |    -0.7% |    -2.2% | 不調整
  2303 |      2026-08 |   +30.7% |   +12.7% | 不加分（年增+31%但回檔僅12.7%，未達-2%）
  3481 |      2026-08 |    +0.0% |    +1.8% | 不調整
  2454 |      2026-08 |   +44.1% |   +14.5% | 不加分（年增+44%但回檔僅14.5%，未達-2%）
  3023 |      2026-08 |   +32.5% |    -2.7% | +5分（年增+32%+回檔-2.7%）
  6213 |      2026-08 |   +97.9% |    -1.6% | 不加分（年增+98%但回檔僅-1.6%，未達-2%）
  2884 |      2026-08 |   +19.3% |    -1.8% | 不加分（年增+19%但回檔僅-1.8%，未達-5%）
  2883 |      2026-08 |   +58.7% |    +0.5% | 不加分（年增+59%但回檔僅0.5%，未達-2%）
  2353 |      2026-08 |   +38.4% |    -1.4% | 不加分（年增+38%但回檔僅-1.4%，未達-2%）
  2890 |      2026-08 |   +49.5% |    -0.6% | 不加分（年增+50%但回檔僅-0.6%，未達-2%）
  3443 |      2026-08 |  +111.0% |   +35.9% | 不加分（年增+111%但回檔僅35.9%，未達-2%）
  3661 |      2026-08 |  +273.6% |   +12.4% | 不加分（年增+274%但回檔僅12.4%，未達-2%）
  3017 |      2026-08 |   +54.3% |    +9.3% | 不加分（年增+54%但回檔僅9.3%，未達-2%）
  2603 |      2026-08 |   +48.6% |    +1.7% | 不加分（年增+49%但回檔僅1.7%，未達-2%）
  2615 |      2026-08 |   +65.6% |    -1.3% | 不加分（年增+66%但回檔僅-1.3%，未達-2%）
  1326 |      2026-08 |   +31.7% |    -0.6% | 不加分（年增+32%但回檔僅-0.6%，未達-2%）
  8299 |      2026-08 |  +376.5% |   +11.6% | 不加分（年增+376%但回檔僅11.6%，未達-2%）
  4958 |      2026-08 |   +41.1% |    -4.2% | +5分（年增+41%+回檔-4.2%）
  2327 |      2026-08 |   +51.8% |    +6.9% | 不加分（年增+52%但回檔僅6.9%，未達-2%）
  2492 |      2026-08 |   +45.5% |    -0.5% | 不加分（年增+46%但回檔僅-0.5%，未達-2%）
  3044 |      2026-08 |   +65.5% |    +7.7% | 不加分（年增+66%但回檔僅7.7%，未達-2%）
  5388 |      2026-08 |   +45.1% |    +1.0% | 不加分（年增+45%但回檔僅1.0%，未達-2%）
  3665 |      2026-08 |   +54.0% |   +17.3% | 不加分（年增+54%但回檔僅17.3%，未達-2%）
  2345 |      2026-08 |   +59.4% |    +2.7% | 不加分（年增+59%但回檔僅2.7%，未達-2%）
  2881 |      2026-08 |   -29.3% |    +0.0% | -5分（連續衰退6個月）
  2882 |      2026-08 |   -36.5% |    -0.9% | 不調整
  2885 |      2026-08 |   +65.4% |    +0.3% | 不加分（年增+65%但回檔僅0.3%，未達-2%）

結果已存: C:\Users\walter.huang\Documents\github\stock\data\2026-09-24\revenue_check.json

[警告] 營收快取落後（應有 2026-08）共 1 檔，營收因子已強制歸零：2867
