code name|rev|avg_rank tot(張) bratio 5d%|cum10 b/s consec f5 mom|ma20 pp|rvYoY adj|eps adj q|fr adj|events
1101 台泥|L0 ✅ 法人買超中。今日+30,781張|8.5 30782 23.6 6.7|+16K 5/5 c2 f5+46K m+248.7%|None None|10.6 0|0 2026-06-30|0.25 0|重大訊息(今日)09-24
2408 南亞科|L0 ✅ 法人買超中。今日+29,607張|2.0 29608 48.9 4.6|+10K 4/6 c1 f5+35K m+235.5%|1.13 11|560.9 0|5 2026-06-30|1.04 5|
6770 力積電|L0 ✅ 法人買超中。今日+25,104張|5.5 25105 21.3 4.6|+101K 7/3 c2 f5+119K m+492.3%|2.79 11|76.2 0|5 2026-06-30|1.61 5|
2610 華航|L0 ✅ 法人買超中。今日+20,352張|12.5 20353 59.2 2.5|+21K 5/5 c3 f5+20K m+354.9%|0.48 10|27.2 0|-5 2026-06-30|0.08 0|
2618 長榮航|L0 ✅ 法人買超中。今日+19,319張|10.0 19319 51.0 3.8|+39K 6/4 c3 f5+12K m+500.0%|1.62 11|24.9 0|-5 2026-06-30|0.03 0|
1314 中石化|L0 ✅ 法人買超中。今日+8,986張|22.5 8986 9.0 10.6|+28K 7/3 c1 f5+26K m+500.0%|7.83 13|-24.4 -5|2 2026-06-30|0.38 0|
8150 南茂|L0 ✅ 法人買超中。今日+8,266張|10.5 8266 7.1 22.8|+38K 7/3 c6 f5+48K m+470.7%|16.46 15|33.3 0|5 2026-06-30|1.76 5|
2317 鴻海|L0 ✅ 法人買超中。今日+7,773張|7.5 7774 22.4 3.2|+2,341 4/6 c2 f5+9,149 m+220.1%|1.85 11|52.0 0|3 2026-06-30|0.04 0|法說會09-22,法說會09-23
2344 華邦電|L-1 ❓ 狀態不明：今日+6,946張，累計-64,751張（負），未匹配任何預警等級|10.0 6946 9.9 2.1|-71K 3/7 c1 f5+27K m+112.9%|-1.58 8|289.4 0|5 2026-06-30|0.95 5|重大訊息(今日)09-24,重大訊息(今日)09-24
2104 國際中橡|L0 ✅ 法人買超中。今日+6,918張|25.0 6918 33.0 11.5|+9,369 6/4 c3 f5+10K m+500.0%|11.01 13|0.3 0|-3 2026-06-30|0.67 5|
2330 台積電|L-1 ❓ 狀態不明：今日+6,304張，累計-11,807張（負），未匹配任何預警等級|6.0 6305 30.9 5.0|-15K 4/6 c1 f5+16K m+157.3%|2.91 11|53.3 0|5 2026-06-30|0.01 0|
3016 嘉晶|L0 ✅ 法人買超中。今日+6,278張|12.5 6278 20.5 26.0|+12K 5/5 c3 f5+13K m+500.0%|32.53 15|57.8 0|5 2026-06-30|0.85 5|重大訊息(今日)09-24
