## 📊 盤中分析報告（2025-11-28 週五 12:45）

### 一、盤前推薦股票盤中表現

根據五維度分析結果，盤前推薦的6檔股票表現如下：

| 股票 | 推薦價 | 盤中價 | 漲跌% | 量比 | 五維度分數 | 尾盤策略 |
|------|--------|--------|-------|------|------------|----------|
| 力積電(6770) | 33.20 | 33.85 | +2.11% | 0.9x | ⭐⭐⭐⭐ 75分 | ✅ 可進場10-15% |
| 旺宏(2337) | 33.90 | 33.90 | +0.59% | 0.6x | ⭐⭐⭐ 67分 | ⚠️ 小倉位3-5% |
| 南亞科(2408) | 145.00 | 145.50 | -0.34% | 0.6x | ⭐⭐ 55分 | ❌ 觀望 |
| 國巨(2327) | 237.00 | 236.00 | +0.00% | 1.2x | ⭐⭐ 61.5分 | ❌ 觀望 |
| 台塑(1301) | 41.40 | 41.55 | +0.00% | 0.7x | ⭐⭐ 61分 | ❌ 觀望 |
| 華邦電(2344) | 54.50 | 57.40 | +0.88% | 0.8x | ⭐⭐ 59.5分 | ❌ 觀望 |

### 二、市場異動觀察

**特殊異動股**：
- 聯發科(2454)：+4.10%，量比1.5x（非盤前推薦，僅記錄）
- 台新新光金(2887)：-2.95%，量比1.7x，法人對決

### 三、尾盤策略（12:30-13:30）

**✅ 可進場**：
- **力積電(6770)**：33.85元進場10-15%
  - 停損：33.17元（-2%）
  - 尾盤目標：+1-2%
  - 理由：法人買超強勁、盤中漲幅適中

**⚠️ 小倉位試單**：
- **旺宏(2337)**：33.90元小倉位3-5%
  - 風險：量能偏弱、法人有對決

**❌ 不建議進場**：
- 其餘4檔因法人對決或量能不足，建議觀望

### 四、風險提醒

1. 今日量能普遍偏弱（多數<1.0x）
2. 多檔股票出現法人對決，需等盤後數據確認
3. 盤中進場務必設停損-2%
4. 請對照券商軟體確認最新價格
